d u	d I d
I s t æ b l I S	I s t æ b l I S t
I m æ J ɨ n	I m æ J ɨ n d
æ k t	æ k t ɨ d
s e v	s e v d
k e r	k e r d
s t e r	s t e r d
l e	l e d
k r Y	k r Y d
k l o z	k l o z d
s ʌ f R	s ʌ f R d
s i k	s ɔ t
S e r	S e r d
a r g j u	a r g j u d
r I d u s	r I d u s t
ɨ C i v	ɨ C i v d
s ɨ p o r t	s ɨ p o r t ɨ d
ɨ p l Y	ɨ p l Y d
s t ʌ d i	s t ʌ d i d
T æ N k	T æ N k t
ɨ v O d	ɨ v O d ɨ d
r I f j u z	r I f j u z d
m E n C ɨ n	m E n C ɨ n d
ɨ k o r d	ɨ k o r d ɨ d
s t r Y k	s t r ʌ k
v I z ɨ t	v I z ɨ t ɨ d
ɨ s u m	ɨ s u m d
t ʌ C	t ʌ C t
I n k R I J	I n k R I J d
b e r	b o r
r I p o r t	r I p o r t ɨ d
I k s p r E s	I k s p r E s t
d i l	d E l t
r I m u v	r I m u v d
d I s t r O	d I s t r O d
r I g a r d	r I g a r d ɨ d
r E p r I z E n t	r E p r I z E n t ɨ d
h Y d	h I d
p l e s	p l e s t
k l e m	k l e m d
h I t	h I t
p r I z E n t	p r I z E n t ɨ d
t r i t	t r i t ɨ d
ɨ d m I t	ɨ d m I t ɨ d
w R i	w R i d
f l Y	f l u
m e n t e n	m e n t e n d
t r æ v ɨ l	t r æ v ɨ l d
I m p r u v	I m p r u v d
s t I k	s t ʌ k
p r I v E n t	p r I v E n t ɨ d
w ɔ S	w ɔ S t
k l Y m	k l Y m d
h e t	h e t ɨ d
I n t r ɨ d u s	I n t r ɨ d u s t
r I N	r æ N
m æ t R	m æ t R d
s R v Y v	s R v Y v d
o n	o n d
ɨ r e n J	ɨ r e n J d
l I f t	l I f t ɨ d
s p r E d	s p r E d
b R n	b R n d
b R n	b R n t
g e n	g e n d
p r E s	p r E s t
d I z Y n	d I z Y n d
k ɨ n t r o l	k ɨ n t r o l d
p ʌ b l I S	p ʌ b l I S t
b i t	b i t
o r d R	o r d R d
p r ɨ t E k t	p r ɨ t E k t ɨ d
m I s	m I s t
r I p l Y	r I p l Y d
k ɨ m p e r	k ɨ m p e r d
b l o	b l u
S W t	S W t ɨ d
C E k	C E k t
b ɨ l ɔ N	b ɨ l ɔ N d
a p ɨ r e t	a p ɨ r e t ɨ d
p r I f R	p r I f R d
d r E s	d r E s t
d I m æ n d	d I m æ n d ɨ d
I m R J	I m R J d
s E t ɨ l	s E t ɨ l d
ɨ p r o C	ɨ p r o C t
I n t E n d	I n t E n d ɨ d
p r I p e r	p r I p e r d
n a d	n a d ɨ d
p o r	p o r d
r I v i l	r I v i l d
f i r	f i r d
s I N	s æ N
ɨ t E m p t	ɨ t E m p t ɨ d
p R f o r m	p R f o r m d
r I f l E k t	r I f l E k t ɨ d
I n s I s t	I n s I s t ɨ d
I g z æ m I n	I g z æ m I n d
g E s	g E s t
g æ D R	g æ D R d
p r a m I s	p r a m I s t
k r ɔ s	k r ɔ s t
r I p l e s	r I p l e s t
I n d ɨ k e t	I n d ɨ k e t ɨ d
f I t	f I t
ɨ t E n d	ɨ t E n d ɨ d
S u t	S a t
ɨ n W n s	ɨ n W n s t
I k s t E n d	I k s t E n d ɨ d
ɨ f E k t	ɨ f E k t ɨ d
l i n	l i n d
r o l	r o l d
p e n t	p e n t ɨ d
k U k	k U k t
S ʌ t	S ʌ t
l æ s t	l æ s t ɨ d
I g n o r	I g n o r d
h æ n d	h æ n d ɨ d
ɨ t æ k	ɨ t æ k t
k ɨ l E k t	k ɨ l E k t ɨ d
ɨ b z R v	ɨ b z R v d
d I s ɨ p i r	d I s ɨ p i r d
Y d E n t ɨ f Y	Y d E n t ɨ f Y d
s t r E C	s t r E C t
ɨ b t e n	ɨ b t e n d
h R t	h R t
J ʌ m p	J ʌ m p t
h æ n d ɨ l	h æ n d ɨ l d
k ɨ m b Y n	k ɨ m b Y n d
s ɨ k s i d	s ɨ k s i d ɨ d
r I p i t	r I p i t ɨ d
w e k	w o k
b E n d	b E n t
d æ n s	d æ n s t
d I n Y	d I n Y d
I n v Y t	I n v Y t ɨ d
d I v Y d	d I v Y d ɨ d
p r ɨ p o z	p r ɨ p o z d
s ɨ s p E k t	s ɨ s p E k t ɨ d
T r E t ɨ n	T r E t ɨ n d
m Y n d	m Y n d ɨ d
k W n t	k W n t ɨ d
ɨ f o r d	ɨ f o r d ɨ d
o r g ɨ n Y z	o r g ɨ n Y z d
I m p l O	I m p l O d
l a k	l a k t
t e r	t o r
s l I p	s l I p t
t Y	t Y d
r I m Y n d	r I m Y n d ɨ d
ɨ r Y z	ɨ r o z
k a n s ɨ n t r e t	k a n s ɨ n t r e t ɨ d
k l i n	k l i n d
ɨ p o z	ɨ p o z d
I s k e p	I s k e p t
r I J E k t	r I J E k t ɨ d
n o t	n o t ɨ d
t r e n	t r e n d
k I s	k I s t
I n S u r	I n S u r d
ɨ d a p t	ɨ d a p t ɨ d
b a D R	b a D R d
n e m	n e m d
r I l i s	r I l i s t
ɨ k w Y R	ɨ k w Y R d
r I z ʌ l t	r I z ʌ l t ɨ d
v o t	v o t ɨ d
s t E p	s t E p t
r Y d	r o d
s æ t I s f Y	s æ t I s f Y d
v e r i	v e r i d
s w I N	s w ʌ N
d I f Y n	d I f Y n d
d I k l e r	d I k l e r d
k ɔ s t	k ɔ s t
p R s w e d	p R s w e d ɨ d
ɨ b æ n d ɨ n	ɨ b æ n d ɨ n d
t E s t	t E s t ɨ d
R n	R n d
ɨ t r æ k t	ɨ t r æ k t ɨ d
I n e b ɨ l	I n e b ɨ l d
l Y t	l I t
n a k	n a k t
k ɨ m I t	k ɨ m I t ɨ d
r I l æ k s	r I l æ k s t
d Y r E k t	d Y r E k t ɨ d
r I k ɔ l	r I k ɔ l d
s t i l	s t o l
r E s t	r E s t ɨ d
I k s p i r i ɨ n s	I k s p i r i ɨ n s t
s a l v	s a l v d
r I k o r d	r I k o r d ɨ d
ɨ s o s i e t	ɨ s o s i e t ɨ d
p r I t E n d	p r I t E n d ɨ d
k ɨ m p l e n	k ɨ m p l e n d
d I t R m I n	d I t R m I n d
r I s p a n d	r I s p a n d ɨ d
s ɨ p l Y	s ɨ p l Y d
s w i p	s w E p t
a k j ɨ p Y	a k j ɨ p Y d
r ʌ S	r ʌ S t
m I k s	m I k s t
s E p ɨ r e t	s E p ɨ r e t ɨ d
s t e t	s t e t ɨ d
b e r i	b e r i d
s I N k	s æ N k
w o r n	w o r n d
k l i r	k l i r d
m a r k	m a r k t
ɨ t æ C	ɨ t æ C t
s Y n	s Y n d
I k s p o z	I k s p o z d
s ɨ r W n d	s ɨ r W n d ɨ d
p r æ k t I s	p r æ k t I s t
s k r i m	s k r i m d
d r æ g	d r æ g d
k ɨ m p l i t	k ɨ m p l i t ɨ d
d e r	d e r d
f Y R	f Y R d
ɨ k ʌ m p ɨ n i	ɨ k ʌ m p ɨ n i d
t r ʌ s t	t r ʌ s t ɨ d
l o R	l o R d
d r Y	d r Y d
g l æ n s	g l æ n s t
p ɨ z E s	p ɨ z E s t
s m E l	s m E l d
s m E l	s m E l t
s u t	s u t ɨ d
d I f E n d	d I f E n d ɨ d
h E d	h E d ɨ d
s w I m	s w æ m
b l e m	b l e m d
d I l I v R	d I l I v R d
I k s p æ n d	I k s p æ n d ɨ d
I m p l Y	I m p l Y d
b I h e v	b I h e v d
d E m ɨ n s t r e t	d E m ɨ n s t r e t ɨ d
S I f t	S I f t ɨ d
w e v	w e v d
s R C	s R C t
C a r J	C a r J d
ɨ p r u v	ɨ p r u v d
f r i z	f r o z
s m o k	s m o k t
k ɨ n f R m	k ɨ n f R m d
I n g e J	I n g e J d
b r i D	b r i D d
I m p o z	I m p o z d
p R s u	p R s u d
g r æ n t	g r æ n t ɨ d
ɨ d m Y r	ɨ d m Y r d
k o p	k o p t
s t r ʌ g ɨ l	s t r ʌ g ɨ l d
s w I C	s w I C t
d I s t R b	d I s t R b d
s ɨ l E k t	s ɨ l E k t ɨ d
r E k ɨ m E n d	r E k ɨ m E n d ɨ d
w I T d r ɔ	w I T d r u
p R m I t	p R m I t ɨ d
ɨ d v Y z	ɨ d v Y z d
w I s p R	w I s p R d
b O l	b O l d
k ɨ n k l u d	k ɨ n k l u d ɨ d
d a m I n e t	d a m I n e t ɨ d
k ɨ n t r I b j u t	k ɨ n t r I b j u t ɨ d
k I k	k I k t
l I N k	l I N k t
r I k ʌ v R	r I k ʌ v R d
p ɔ z	p ɔ z d
r I z I s t	r I z I s t ɨ d
k æ s t	k æ s t
s t R	s t R d
m W n t	m W n t ɨ d
r ʌ b	r ʌ b d
v æ n I S	v æ n I S t
k w o t	k w o t ɨ d
p r ɨ s i d	p r ɨ s i d ɨ d
f I k s	f I k s t
k ɨ n E k t	k ɨ n E k t ɨ d
s o r t	s o r t ɨ d
J ʌ J	J ʌ J d
p r I z R v	p r I z R v d
d I g	d ʌ g
h R i	h R i d
r I t e n	r I t e n d
s E n s	s E n s t
ɔ l t R	ɔ l t R d
I n f l u ɨ n s	I n f l u ɨ n s t
l ɔ n C	l ɔ n C t
t w I s t	t w I s t ɨ d
R J	R J d
ɨ S u r	ɨ S u r d
I m p r E s	I m p r E s t
p æ k	p æ k t
f o l d	f o l d ɨ d
I S u	I S u d
b R s t	b R s t
k ɨ n d ʌ k t	k ɨ n d ʌ k t ɨ d
ɨ b z o r b	ɨ b z o r b d
d I s p l e	d I s p l e d
w e s t	w e s t ɨ d
d r i m	d r E m t
w Y p	w Y p t
r I l e t	r I l e t ɨ d
E m f ɨ s Y z	E m f ɨ s Y z d
d æ m I J	d æ m I J d
J E n ɨ r e t	J E n ɨ r e t ɨ d
w a n d R	w a n d R d
s i s	s i s t
r u l	r u l d
I n f o r m	I n f o r m d
l æ k	l æ k t
ɨ k j u z	ɨ k j u z d
f e d	f e d ɨ d
f o n	f o n d
s ʌ k	s ʌ k t
m E Z R	m E Z R d
k ɨ n v R t	k ɨ n v R t ɨ d
l I m I t	l I m I t ɨ d
p r I n t	p r I n t ɨ d
ɨ d r E s	ɨ d r E s t
e m	e m d
r æ p	r æ p t
d I s m I s	d I s m I s t
s l Y d	s l I d
ɨ p r i S i e t	ɨ p r i S i e t ɨ d
d I l Y t	d I l Y t ɨ d
I l E k t	I l E k t ɨ d
f l o	f l o d
k w E s C ɨ n	k w E s C ɨ n d
I g z ɔ s t	I g z ɔ s t ɨ d
S Y n	S o n
ɨ k W n t	ɨ k W n t ɨ d
s l o	s l o d
d W t	d W t ɨ d
ɨ k n a l I J	ɨ k n a l I J d
E s t ɨ m e t	E s t ɨ m e t ɨ d
s p r I N	s p r æ N
s p r I N	s p r ʌ N
ɨ r E s t	ɨ r E s t ɨ d
g r æ b	g r æ b d
s p l I t	s p l I t
I n v E n t	I n v E n t ɨ d
s w a l o	s w a l o d
r I s t o r	r I s t o r d
f R g I v	f R g e v
w E l k ɨ m	w E l k ɨ m d
p r ɨ m o t	p r ɨ m o t ɨ d
f l o t	f l o t ɨ d
d I k l Y n	d I k l Y n d
p a r t	p a r t ɨ d
s I k j u r	s I k j u r d
s i z	s i z d
o v R k ʌ m	o v R k e m
s w e r	s w o r
k ɨ n s i l	k ɨ n s i l d
d r I f t	d r I f t ɨ d
d I p E n d	d I p E n d ɨ d
b o r	b o r d
d I s t I N g w I S	d I s t I N g w I S t
d Y n	d Y n d
k ɨ n s ʌ l t	k ɨ n s ʌ l t ɨ d
S a k	S a k t
r I t Y R	r I t Y R d
t r ʌ b ɨ l	t r ʌ b ɨ l d
g r i t	g r i t ɨ d
f I S	f I S t
I l ɨ s t r e t	I l ɨ s t r e t ɨ d
l ɔ N	l ɔ N d
h Y R	h Y R d
m æ C	m æ C t
t r æ n s f R	t r æ n s f R d
b a r o	b a r o d
g e z	g e z d
r I m a r k	r I m a r k t
s t o r	s t o r d
I n t Y t ɨ l	I n t Y t ɨ l d
l i p	l E p t
k ɨ n v I n s	k ɨ n v I n s t
I k s p l O t	I k s p l O t ɨ d
b E g	b E g d
s Y	s Y d
C æ l ɨ n J	C æ l ɨ n J d
f W n d	f W n d ɨ d
k æ l k j U l e t	k æ l k j U l e t ɨ d
h E z ɨ t e t	h E z ɨ t e t ɨ d
I l I m ɨ n e t	I l I m ɨ n e t ɨ d
v j u	v j u d
p l æ n t	p l æ n t ɨ d
w e	w e d
f ɔ s t R	f ɔ s t R d
ʌ n d R t e k	ʌ n d R t U k
d r e n	d r e n d
m a r C	m a r C t
r I s p E k t	r I s p E k t ɨ d
s t a r t ɨ l	s t a r t ɨ l d
I n v E s t	I n v E s t ɨ d
l æ n d	l æ n d ɨ d
l I s t	l I s t ɨ d
k a n s t ɨ t u t	k a n s t ɨ t u t ɨ d
E k s R s Y z	E k s R s Y z d
s p O l	s p O l d
s p O l	s p O l t
ɨ d v æ n s	ɨ d v æ n s t
r E n t	r E n t ɨ d
s ɨ s t e n	s ɨ s t e n d
k ɨ l æ p s	k ɨ l æ p s t
k ɨ n d E m	k ɨ n d E m d
g e r ɨ n t i	g e r ɨ n t i d
t e r I f Y	t e r I f Y d
p r I d I k t	p r I d I k t ɨ d
h ʌ n t	h ʌ n t ɨ d
t r æ n s f o r m	t r æ n s f o r m d
t r E m b ɨ l	t r E m b ɨ l d
k ɨ n s t r ʌ k t	k ɨ n s t r ʌ k t ɨ d
l Y n	l Y n d
s t r E N T ɨ n	s t r E N T ɨ n d
r i æ k t	r i æ k t ɨ d
J ʌ s t ɨ f Y	J ʌ s t ɨ f Y d
k ɨ m æ n d	k ɨ m æ n d ɨ d
f I g j R	f I g j R d
s n æ p	s n æ p t
p r e	p r e d
b æ k	b æ k t
f ɨ l f I l	f ɨ l f I l d
b æ l ɨ n s	b æ l ɨ n s t
w i p	w E p t
k r I t I s Y z	k r I t I s Y z d
h i t	h i t ɨ d
r E J I s t R	r E J I s t R d
s k w i z	s k w i z d
m æ n j U f æ k C R	m æ n j U f æ k C R d
p o z	p o z d
l o d	l o d ɨ d
b Y t	b I t
p i r	p i r d
g r Y n d	g r W n d
I n t ɨ r ʌ p t	I n t ɨ r ʌ p t ɨ d
d ʌ b ɨ l	d ʌ b ɨ l d
ɨ b l Y J	ɨ b l Y J d
k l I N	k l ʌ N
l E n d	l E n t
I k s p l o r	I k s p l o r d
f l æ S	f l æ S t
o	o d
f l i	f l E d
g r I n	g r I n d
d I z R v	d I z R v d
f e v R	f e v R d
o b e	o b e d
s t r E s	s t r E s t
k ɨ m p o z	k ɨ m p o z d
r e n J	r e n J d
ɨ m j u z	ɨ m j u z d
k ɨ m p i t	k ɨ m p i t ɨ d
ɨ J ʌ s t	ɨ J ʌ s t ɨ d
k r i p	k r E p t
ɨ p O n t	ɨ p O n t ɨ d
d I f i t	d I f i t ɨ d
d I m I n I S	d I m I n I S t
ɨ d æ p t	ɨ d æ p t ɨ d
k ɨ n f r ʌ n t	k ɨ n f r ʌ n t ɨ d
I n k w Y R	I n k w Y R d
p r ɨ t E s t	p r ɨ t E s t ɨ d
k u l	k u l d
I m b e r ɨ s	I m b e r ɨ s t
k æ p C R	k æ p C R d
d I l e	d I l e d
g Y d	g Y d ɨ d
I n t R p r I t	I n t R p r I t ɨ d
s p I n	s p ʌ n
k ɨ n f E s	k ɨ n f E s t
t r æ p	t r æ p t
k r ɔ l	k r ɔ l d
r I z E m b ɨ l	r I z E m b ɨ l d
n I g l E k t	n I g l E k t ɨ d
g r æ s p	g r æ s p t
r I z a l v	r I z a l v d
r I v R s	r I v R s t
d I s E n d	d I s E n d ɨ d
d r W n	d r W n d
b E t	b E t
I m b r e s	I m b r e s t
h e r i	h e r i d
m R d R	m R d R d
k a m E n t	k a m E n t ɨ d
S r ʌ g	S r ʌ g d
w u n d	w u n d ɨ d
d e t	d e t ɨ d
p a r k	p a r k t
ɨ b J E k t	ɨ b J E k t ɨ d
I v a l v	I v a l v d
d I t E k t	d I t E k t ɨ d
m E l t	m E l t ɨ d
s m æ S	s m æ S t
I n h e r I t	I n h e r I t ɨ d
I k s C e n J	I k s C e n J d
b l i d	b l E d
k ɨ n f Y n	k ɨ n f Y n d
d I z Y R	d I z Y R d
r u I n	r u I n d
t æ k ɨ l	t æ k ɨ l d
s k r æ C	s k r æ C t
w o r m	w o r m d
I n s p Y R	I n s p Y R d
p R s I s t	p R s I s t ɨ d
ʌ n d R l Y	ʌ n d R l e
ɨ r W z	ɨ r W z d
k ɨ m j u n I k e t	k ɨ m j u n I k e t ɨ d
s ɨ b m I t	s ɨ b m I t ɨ d
f Y n æ n s	f Y n æ n s t
ɨ s E m b ɨ l	ɨ s E m b ɨ l d
b l a k	b l a k t
b r ʌ S	b r ʌ S t
f l I N	f l ʌ N
r I z Y n	r I z Y n d
b e k	b e k t
k ɨ n s u m	k ɨ n s u m d
k ɨ n s R n	k ɨ n s R n d
p ʌ n I S	p ʌ n I S t
ʌ p s E t	ʌ p s E t
ɨ s E s	ɨ s E s t
d I s t r I b j u t	d I s t r I b j u t ɨ d
s k o r	s k o r d
d I s l Y k	d I s l Y k t
I k s k l u d	I k s k l u d ɨ d
r I l i v	r I l i v d
m ʌ t R	m ʌ t R d
I n v E s t ɨ g e t	I n v E s t ɨ g e t ɨ d
k ɨ m p E l	k ɨ m p E l d
s ɨ p r E s	s ɨ p r E s t
s E l ɨ b r e t	s E l ɨ b r e t ɨ d
d I f R	d I f R d
ɨ s R t	ɨ s R t ɨ d
h R t ɨ l	h R t ɨ l d
k ɨ n v e	k ɨ n v e d
n i l	n E l t
n i l	n i l d
s p a t	s p a t ɨ d
i z	i z d
æ n ɨ l Y z	æ n ɨ l Y z d
f o k ɨ s	f o k ɨ s t
t e s t	t e s t ɨ d
o v R l U k	o v R l U k t
p r ɨ J E k t	p r ɨ J E k t ɨ d
I n k W n t R	I n k W n t R d
ɨ p i l	ɨ p i l d
ɨ w e t	ɨ w e t ɨ d
I k s p l o d	I k s p l o d ɨ d
r E k ɨ n	r E k ɨ n d
f r Y t ɨ n	f r Y t ɨ n d
p R s i v	p R s i v d
I n t R r f i r	I n t R r f i r d
j E l	j E l d
r e s	r e s t
t r e s	t r e s t
r I z E n t	r I z E n t ɨ d
p a r t I s I p e t	p a r t I s I p e t ɨ d
r o r	r o r d
k j u r	k j u r d
s t ʌ f	s t ʌ f t
æ n t I s ɨ p e t	æ n t I s ɨ p e t ɨ d
f r Y	f r Y d
f E C	f E C t
r i I n f o r s	r i I n f o r s t
s p e r	s p e r d
k ʌ m f R t	k ʌ m f R t ɨ d
f r ʌ s t r e t	f r ʌ s t r e t ɨ d
I m p o r t	I m p o r t ɨ d
I n t R v j u	I n t R v j u d
p a l I S	p a l I S t
k l ʌ C	k l ʌ C t
I n s p E k t	I n s p E k t ɨ d
r I v j u	r I v j u d
k r ʌ S	k r ʌ S t
f Y l	f Y l d
p Y l	p Y l d
k ɨ n f j u z	k ɨ n f j u z d
t ʌ k	t ʌ k t
i r I t e t	i r I t e t ɨ d
f r i	f r i d
t E l ɨ f o n	t E l ɨ f o n d
t r e d	t r e d ɨ d
p r ɨ v o k	p r ɨ v o k t
S r I N k	S r æ N k
S r I N k	S r ʌ N k
s t a r v	s t a r v d
s t ʌ m b ɨ l	s t ʌ m b ɨ l d
C e s	C e s t
ɨ s I s t	ɨ s I s t ɨ d
b æ n	b æ n d
C u	C u d
k ɨ n s i v	k ɨ n s i v d
n I g o S i e t	n I g o S i e t ɨ d
s t r I p	s t r I p t
d E k ɨ r e t	d E k ɨ r e t ɨ d
s e l	s e l d
s t r e n	s t r e n d
b I t r e	b I t r e d
p l ʌ n J	p l ʌ n J d
r I s k	r I s k t
t ɔ s	t ɔ s t
t r æ n s l e t	t r æ n s l e t ɨ d
w i k ɨ n	w i k ɨ n d
k r u z	k r u z d
p R C ɨ s	p R C ɨ s t
I n s t ɔ l	I n s t ɔ l d
s t I m j U l e t	s t I m j U l e t ɨ d
k a r v	k a r v d
d I p a r t	d I p a r t ɨ d
S æ t R	S æ t R d
C a p	C a p t
T r ʌ s t	T r ʌ s t
b E n ɨ f I t	b E n ɨ f I t ɨ d
k ɨ r E k t	k ɨ r E k t ɨ d
b E t R	b E t R d
b r i d	b r E d
I k s k j u z	I k s k j u z d
g ʌ v R n	g ʌ v R n d
p a p	p a p t
d æ m	d æ m d
f l R I S	f l R I S t
p l i d	p l i d ɨ d
d I z R t	d I z R t ɨ d
s i t	s i t ɨ d
s t r o k	s t r o k t
k r æ S	k r æ S t
r I z u m	r I z u m d
t E m p t	t E m p t ɨ d
d I v Y z	d I v Y z d
k r æ k	k r æ k t
I n d u r	I n d u r d
d I z a l v	d I z a l v d
s t r e t ɨ n	s t r e t ɨ n d
ɨ s Y n	ɨ s Y n d
g a r d	g a r d ɨ d
j i l d	j i l d ɨ d
E k o	E k o d
r E n d R	r E n d R d
d I s g Y z	d I s g Y z d
f R n I S	f R n I S t
p r a s E s	p r a s E s t
p l i z	p l i z d
m a d ɨ f Y	m a d ɨ f Y d
E J ɨ k e t	E J ɨ k e t ɨ d
s i l	s i l d
s w e	s w e d
ɨ p a l ɨ J Y z	ɨ p a l ɨ J Y z d
s p I l	s p I l d
s p I l	s p I l t
r E s k j u	r E s k j u d
s ʌ m ɨ n	s ʌ m ɨ n d
k a n t ɨ m p l e t	k a n t ɨ m p l e t ɨ d
s p E l	s p E l d
s p E l	s p E l t
s ɨ s p E n d	s ɨ s p E n d ɨ d
ʌ n d R g o	ʌ n d R w E n t
s I v I l Y z	s I v I l Y z d
m R m R	m R m R d
k w a l ɨ f Y	k w a l ɨ f Y d
s k r u	s k r u d
t Y t ɨ n	t Y t ɨ n d
ɨ n O	ɨ n O d
b l E s	b l E s t
r W n d	r W n d ɨ d
b æ t R	b æ t R d
p ʌ m p	p ʌ m p t
ɨ l E J	ɨ l E J d
w I t n I s	w I t n I s t
I n t ɨ g r e t	I n t ɨ g r e t ɨ d
ɨ f E n d	ɨ f E n d ɨ d
S I v R	S I v R d
p E n ɨ t r e t	p E n ɨ t r e t ɨ d
s k æ t R	s k æ t R d
d I s k R I J	d I s k R I J d
s n æ C	s n æ C t
s o k	s o k t
p r ɨ k l e m	p r ɨ k l e m d
d ʌ m p	d ʌ m p t
r I t r i t	r I t r i t ɨ d
S e p	S e p t
t r æ n z m I t	t r æ n z m I t ɨ d
b Y n d	b W n d
t Y p	t Y p t
p æ t	p æ t ɨ d
p O z ɨ n	p O z ɨ n d
p r e z	p r e z d
ɨ b a l I S	ɨ b a l I S t
f R b I d	f R b e d
f R b I d	f R b æ d
r I n u	r I n u d
ɨ m e z	ɨ m e z d
d I p	d I p t
I k s t r æ k t	I k s t r æ k t ɨ d
g r e z	g r e z d
h U k	h U k t
s w E t	s w E t ɨ d
g l o	g l o d
s p i d	s p E d
s t æ m p	s t æ m p t
f r W n	f r W n d
I n s t r ʌ k t	I n s t r ʌ k t ɨ d
m ʌ m b ɨ l	m ʌ m b ɨ l d
p r ɨ g r E s	p r ɨ g r E s t
d I v o r s	d I v o r s t
f æ n s i	f æ n s i d
I n k o r p R e t	I n k o r p R e t ɨ d
s l æ p	s l æ p t
I n f o r s	I n f o r s t
f æ s ɨ n e t	f æ s ɨ n e t ɨ d
r i r	r i r d
s I p	s I p t
k a p i	k a p i d
r I g r E t	r I g r E t ɨ d
w Y n d	w W n d
f l ʌ d	f l ʌ d ɨ d
I n d ʌ l J	I n d ʌ l J d
l e b ɨ l	l e b ɨ l d
t I p	t I p t
ɨ k j u m j ɨ l e t	ɨ k j u m j ɨ l e t ɨ d
k æ m p	k æ m p t
k ɨ n d I S ɨ n	k ɨ n d I S ɨ n d
