sh o v	sh v a
u zj e l	u z l a
u lj e j	u lj j a
u m i sj e l	u m i s l a
u r o vj e nj	u r o v nj a
f o r sh tj e vj e nj	f o r sh tj e v nj a
x o dj e nj	x o d nj a
x o x o l	x o x l a
x o x o l	x o x l a
x rj e bj e t	x rj e b t a
ts vj e tj e nj	ts vj e t nj a
ts e pj e nj	ts e p nj a
ch a bj o r	ch a b r a
ch e l o vj e k o dj e nj	ch e l o vj e k o d nj a
ch e r n o k o rj e nj	ch e r n o k o r nj a
ch e x o l	ch e x l a
ch i rj e j	ch i rj j a
sh a bj o r	sh a b r a
sh a tj o r	sh a t r a
sh a sh e nj	sh a sh nj a
sh e r sh e nj	sh e r sh nj a
sh k v o rj e nj	sh k v o r nj a
sh tj e vj e nj	sh tj e v nj a
shshj e g o l	shshj e g l a
shshj i tj e nj	shshj i t nj a
vj e tj e r	vj e t r a
vj e tj e r	vj e t r a
dj o g o tj	dj o g tj a
pj e pj e l	pj e p l a
s bj i tj e nj	s bj i t nj a
u g o l	u g l a
shshj e bj e nj	shshj e b nj a
