item	nak	nek	naknek
a k a r ó	96	0	1.000
a k a r t	14	0	1.000
a k a r t a	14	0	1.000
a k a sz t á s	27	0	1.000
a k a sz t ó	27	0	1.000
a k c e n t u s	17	0	1.000
a k c i ó	3160	0	1.000
a k k o r d	33	0	1.000
a k k r e d i t á l t	18	0	1.000
a k k u	105	0	1.000
a k o l	38	0	1.000
a k t	33	0	1.000
a k t a	32	0	1.000
a k t í v á k	19	0	1.000
a k t i v i t á s	456	0	1.000
a k t u s	563	0	1.000
a k u sz t i k u s	9	0	1.000
a k u t	18	0	1.000
a k v á r i u m	77	0	1.000
a l a cs o ny	2170	0	1.000
a l a cs o ny a b b	500	0	1.000
a l a cs o ny a k	26	0	1.000
a l a g ú t	217	0	1.000
a l a k	2370	0	1.000
a l a k í t á s	207	0	1.000
a l a k í t ó	20	0	1.000
a l a k j a	7000	0	1.000
a l a k t a l a n	26	0	1.000
a l a k ú	368	0	1.000
a l a k u l á s	114	0	1.000
a l a k u l a t	777	0	1.000
a l a k u l t	15	0	1.000
a l a k z a t	321	0	1.000
a l a n t a s	120	0	1.000
a l a n t a s a b b	15	0	1.000
a l a ny	594	0	1.000
a l a ny a	565	0	1.000
a l a p í t á s	99	0	1.000
a l a p í t ó	549	0	1.000
a l a p í t v á ny	7630	0	1.000
a l a p j a	5710	0	1.000
a l a p o k	677	0	1.000
a l a p o s	599	0	1.000
a l a p o s s á g	29	0	1.000
a l a p o z á s	158	0	1.000
a l a p o z ó	39	0	1.000
a l a p t a l a n	2130	0	1.000
a l a p ú	178	0	1.000
a l a p u l ó	97	0	1.000
a l a p z a t	14	0	1.000
á l a r c	54	0	1.000
a l a t t o m o s	46	0	1.000
a l b a	87	0	1.000
a l b á n	48	0	1.000
a l b a t r o sz	14	0	1.000
a l b i z o t t s á g	366	0	1.000
a l b u m	895	0	1.000
á l c á z á s	60	0	1.000
a l cs o p o r t	37	0	1.000
á l d á s	506	0	1.000
á l d o m á s	29	0	1.000
á l d o z á s	67	0	1.000
á l d o z a t	3180	0	1.000
á l d o z a t o k	1580	0	1.000
a l f a j	41	0	1.000
a l g o r i t m u s	527	0	1.000
a l h a d n a gy	35	0	1.000
a l j	16	0	1.000
a l j a	529	0	1.000
a l j a s	169	0	1.000
a l j a s s á g	146	0	1.000
a l j z a t	266	0	1.000
a l k a l m a s	23900	0	1.000
a l k a l m a s s á g	111	0	1.000
a l k a l m a z á s	2100	0	1.000
a l k a l m a z ó	170	0	1.000
a l k a l o m	1930	0	1.000
a l k a r	29	0	1.000
a l k a t	254	0	1.000
a l k a t ú	38	0	1.000
a l k o h o l	613	0	1.000
a l k o ny	42	0	1.000
a l k o ny a t	72	0	1.000
a l k o t á s	3190	0	1.000
a l k o t m á ny	3050	0	1.000
a l k o t m á ny o s	354	0	1.000
a l k o t ó	1730	0	1.000
a l k u	310	0	1.000
a l k u d o z á s	97	0	1.000
a l k u sz	212	0	1.000
á l l a	537	0	1.000
á l l a g	19	0	1.000
á l l a m	26600	0	1.000
á l l a m o k	7290	0	1.000
á l l a n d ó	1970	0	1.000
á l l a n d ó s á g	86	0	1.000
á l l a n d ó s u l t	27	0	1.000
á l l a p o t	7350	0	1.000
á l l a p o t o s	15	0	1.000
á l l a p o t ú	308	0	1.000
á l l á s	580	0	1.000
á l l á s o k	157	0	1.000
á l l á s t a l a n	46	0	1.000
á l l á s ú	30	0	1.000
á l l a t	5660	0	1.000
á l l a t i a s	22	0	1.000
a l l e r g i á s	53	0	1.000
á l l h a t a t o s	105	0	1.000
á l l í t á s	1730	0	1.000
á l l í t m á ny	51	0	1.000
á l l í t ó	15	0	1.000
á l l ó	2720	0	1.000
á l l ó k	1680	0	1.000
á l l o m á ny	2290	0	1.000
á l l o m á ny ú	26	0	1.000
á l l o m á s	1540	0	1.000
á l l t	11	0	1.000
á l l v á ny	119	0	1.000
á l l v á ny z a t	27	0	1.000
a l m a	437	0	1.000
a l m a n a ch	21	0	1.000
a l m á s	13	0	1.000
á l m a t l a n s á g	28	0	1.000
á l m o d o z á s	183	0	1.000
á l m o d o z ó	148	0	1.000
á l m o k	797	0	1.000
á l m o s	366	0	1.000
á l m o s s á g	29	0	1.000
á l n o k	66	0	1.000
á l n o k s á g	158	0	1.000
a l o m	165	0	1.000
á l o m	2660	0	1.000
a l o sz t á ly	120	0	1.000
a l p i n i z m u s	11	0	1.000
a l p o n t	25	0	1.000
a l s ó	79	0	1.000
a l t á b o r n a gy	207	0	1.000
a l t a l a j	23	0	1.000
á l t a t á s	14	0	1.000
a l t a t ó	171	0	1.000
a l t e n g e r n a gy	8	0	1.000
a l t e r e g ó	15	0	1.000
a l v á s	413	0	1.000
a l v á z	24	0	1.000
a l v i l á g	263	0	1.000
a l v ó	140	0	1.000
a m a l g á m	13	0	1.000
a m b í c i ó	97	0	1.000
á m í t á s	92	0	1.000
á m í t ó	11	0	1.000
a m o r f	22	0	1.000
a m p l i t ú d ó	23	0	1.000
á m u l a t	20	0	1.000
a n a l ó g	98	0	1.000
a n a n á sz	17	0	1.000
a n a r ch i a	175	0	1.000
a n a t ó m u s	15	0	1.000
a n d a l í t ó	11	0	1.000
a n g l i a	952	0	1.000
a n g l i k á n	9	0	1.000
a n g o l	712	0	1.000
a n g o l o k	1650	0	1.000
a n gy a l	1870	0	1.000
a n i m i z m u s	21	0	1.000
a n n a	2200	0	1.000
a n ó d	27	0	1.000
a n t e n n a	159	0	1.000
a n t i k	61	0	1.000
a n t i l o p	29	0	1.000
a n t i m o n	12	0	1.000
a ny a	6380	0	1.000
a ny a g	10100	0	1.000
a ny a g i a k	99	0	1.000
a ny a g i a s	53	0	1.000
a ny a g o k	4710	0	1.000
a ny á k	2600	0	1.000
a ny a s á g	120	0	1.000
a ny ó s	192	0	1.000
a ny u	847	0	1.000
a p á d	762	0	1.000
a p a d á s	62	0	1.000
a p á ly	30	0	1.000
a p a s á g	23	0	1.000
a p á t	370	0	1.000
a p á t l a n	6	0	1.000
a p á t s á g	443	0	1.000
a p j a	8660	0	1.000
a p ó	205	0	1.000
á p o l á s	125	0	1.000
á p o l ó	289	0	1.000
á p o l t	137	0	1.000
a p ó s	592	0	1.000
a p o s t o l	2700	0	1.000
a p o s t o l o k	1560	0	1.000
a p o sz t r ó f	15	0	1.000
a p r ó	570	0	1.000
a p r ó d	150	0	1.000
a p r ó l é k o s	45	0	1.000
a p r o p ó	30	0	1.000
a p r ó s á g	634	0	1.000
a p r ó s á g o k	411	0	1.000
a p u	643	0	1.000
a p u k a	376	0	1.000
a p u s	48	0	1.000
a r a b	384	0	1.000
á r a d á s	130	0	1.000
á r a d a t	178	0	1.000
á r a j á n l a t	1060	0	1.000
á r a k	812	0	1.000
á r a m	364	0	1.000
á r a m l á s	270	0	1.000
á r a m l a t	402	0	1.000
a r a ny	1650	0	1.000
a r á ny	1630	0	1.000
a r a ny m o s ó	10	0	1.000
a r a ny o m	11	0	1.000
a r a ny o s	350	0	1.000
a r á ny o s	547	0	1.000
a r á ny o s s á g	43	0	1.000
a r a ny o z á s	14	0	1.000
a r á ny t a l a n	344	0	1.000
a r á ny ú	58	0	1.000
á r a p á ly	16	0	1.000
a r a t á s	351	0	1.000
a r a t ó	39	0	1.000
á r b o c	50	0	1.000
a r c a	4300	0	1.000
a r c á t l a n	75	0	1.000
a r c á t l a n s á g	108	0	1.000
a r ch e t í p u s	60	0	1.000
a r ch í v u m	206	0	1.000
a r c ú	228	0	1.000
a r c u l a t	163	0	1.000
á r f o ly a m	301	0	1.000
á r f o ly a m o k	94	0	1.000
a r k a n gy a l	125	0	1.000
á r m á ny	85	0	1.000
á r m á ny k o d ó	10	0	1.000
á r ny	120	0	1.000
á r ny a l a t	52	0	1.000
á r ny é k o l á s	36	0	1.000
á r ny é k o l ó	13	0	1.000
á r o k	221	0	1.000
á r o n	976	0	1.000
a r r o g á n s	173	0	1.000
á r t a l m a s	407	0	1.000
á r t a t l a n s á g	159	0	1.000
á r u	1760	0	1.000
á r ú	101	0	1.000
á r u k	700	0	1.000
á r u l á s	547	0	1.000
á r u l k o d á s	17	0	1.000
á r u l k o d ó	63	0	1.000
á r u l ó	1820	0	1.000
á r u s	179	0	1.000
á r u s í t á s	32	0	1.000
á r u s í t ó	10	0	1.000
á r v a s á g	44	0	1.000
á r z u h a n á s	14	0	1.000
á s a t á s	59	0	1.000
á s a t ó	8	0	1.000
á s í t á s	7	0	1.000
á s k á l ó d á s	20	0	1.000
á s ó	40	0	1.000
a s sz o ny o k	3130	0	1.000
a s sz o ny o m	236	0	1.000
á s v á ny	148	0	1.000
á s v á ny o k	136	0	1.000
a sz	80	0	1.000
á sz	133	0	1.000
a sz á ly	100	0	1.000
a sz f a l t	110	0	1.000
a sz t a l	783	0	1.000
a sz t a l a	445	0	1.000
a sz t a l o k	85	0	1.000
a sz t a l o s	306	0	1.000
a sz t m á s	21	0	1.000
a t a v i z m u s	17	0	1.000
a t e i s t a	407	0	1.000
a t e i z m u s	87	0	1.000
a t k a	21	0	1.000
a t l a sz	82	0	1.000
á t l ó	33	0	1.000
á t o k	400	0	1.000
a t o m	427	0	1.000
a t r o c i t á s	81	0	1.000
a t t r a k c i ó	165	0	1.000
a ty a	5780	0	1.000
a ty a f i s á g	19	0	1.000
a ty á m	1640	0	1.000
a u g u sz t u s	37	0	1.000
a u k c i ó	98	0	1.000
a u r a	105	0	1.000
a u sz t r i a	1890	0	1.000
a u t ó	7010	0	1.000
a u t ó k	2750	0	1.000
a u t o n ó m	111	0	1.000
a u t ó s	807	0	1.000
a u t ó z á s	92	0	1.000
a v a n t g a r d	30	0	1.000
a v a n t g á r d	165	0	1.000
a v a s	13	0	1.000
a v a t a n d ó	17	0	1.000
a v a t á s	89	0	1.000
a v a t k o z á s	24	0	1.000
a z o n o s	3670	0	1.000
a z o n o s s á g	164	0	1.000
b a b	83	0	1.000
b á b	119	0	1.000
b a b a	3370	0	1.000
b a b é r	20	0	1.000
b a b o n a	393	0	1.000
b a b o n á s	67	0	1.000
b a b r á l	98	0	1.000
b á b u	161	0	1.000
b a c i l u s	18	0	1.000
b a d a r	10	0	1.000
b a d a r s á g	172	0	1.000
b a g á zs	125	0	1.000
b a g ó	39	0	1.000
b a g o ly	347	0	1.000
b á gy a d t	70	0	1.000
b á gy a d t s á g	12	0	1.000
b a j	3750	0	1.000
b á j	100	0	1.000
b a j n o k	1550	0	1.000
b a j n o k s á g	1640	0	1.000
b a j o d	23	0	1.000
b a j o k	370	0	1.000
b a j o m	93	0	1.000
b a j o s	36	0	1.000
b á j o s	141	0	1.000
b a j u sz	68	0	1.000
b a k	237	0	1.000
b a k a	180	0	1.000
b a k a n cs	60	0	1.000
b a k ó	80	0	1.000
b a k t é r i u m	224	0	1.000
b a l	226	0	1.000
b á l	512	0	1.000
b a l h é	49	0	1.000
b a l j ó s l a t ú	18	0	1.000
b a l k o n	9	0	1.000
b a l l o n	25	0	1.000
b a l o s	60	0	1.000
b á l o z ó	6	0	1.000
b a l t a	34	0	1.000
b á l v á ny	251	0	1.000
b á l v á ny o z á s	19	0	1.000
b a l zs a m	29	0	1.000
b a m b u sz	14	0	1.000
b á m é sz k o d ó	34	0	1.000
b á m u l a t	17	0	1.000
b á m u l a t o s	52	0	1.000
b a n a l i t á s	59	0	1.000
b a n á n	105	0	1.000
b á n á s m ó d	550	0	1.000
b á n a t	512	0	1.000
b á n a t o s	87	0	1.000
b a n d a	1790	0	1.000
b a n d i t a	7	0	1.000
b a n k á r	353	0	1.000
b á n ó	16	0	1.000
b á n t a l m a z á s	188	0	1.000
b á n t ó	351	0	1.000
b a ny a	155	0	1.000
b á ny á sz	765	0	1.000
b á r	1380	0	1.000
b a r a c k	70	0	1.000
b a r a k k	62	0	1.000
b a r a n g o l á s	42	0	1.000
b a r a n g o l ó	14	0	1.000
b á r á ny	720	0	1.000
b a r á t o m	16900	0	1.000
b a r b a r i z m u s	34	0	1.000
b a r b á r s á g	124	0	1.000
b á r d	157	0	1.000
b á r gy ú	74	0	1.000
b á r gy ú s á g	11	0	1.000
b a r i t o n	14	0	1.000
b a r k ó	8	0	1.000
b a r l a n g	541	0	1.000
b a r n a	443	0	1.000
b á r ó	635	0	1.000
b a r o k k	123	0	1.000
b a r o m	701	0	1.000
b a r o m s á g	319	0	1.000
b á r s o ny	25	0	1.000
b á r s o ny o s	31	0	1.000
b a s á s k o d ó	1	0	1.000
b a s e b a l l	14	0	1.000
b a s sz u s	62	0	1.000
b a sz á s	27	0	1.000
b a sz k	30	0	1.000
b a t á r	29	0	1.000
b á t o r	813	0	1.000
b á t o r í t á s	117	0	1.000
b á t o r í t ó	96	0	1.000
b á t o r s á g	420	0	1.000
b á t o r t a l a n	59	0	1.000
b á ty	35	0	1.000
b a ty u	20	0	1.000
b a z a l t	27	0	1.000
b á z i s	590	0	1.000
b é k ly ó	35	0	1.000
b é l p o k l o s	13	0	1.000
b é n a s á g	9	0	1.000
b é n í t ó	12	0	1.000
b é n u l á s	15	0	1.000
b é n u l t	26	0	1.000
b é r t o l l n o k	10	0	1.000
b i a n k ó	2	0	1.000
b i b l i a	875	0	1.000
b í b o r	17	0	1.000
b í b o r o s	670	0	1.000
b i c a j	5	0	1.000
b i c a j o s	6	0	1.000
b i g o t t	38	0	1.000
b i gy ó	44	0	1.000
b i k a	480	0	1.000
b i l i á r d	33	0	1.000
b i m b ó	51	0	1.000
b í r á k	878	0	1.000
b í r á l a t	388	0	1.000
b í r á l ó	234	0	1.000
b í r á s	12	0	1.000
b í r á s k o d á s	74	0	1.000
b i r k a	379	0	1.000
b i r k ó z á s	79	0	1.000
b i r k ó z ó	104	0	1.000
b í r ó	3930	0	1.000
b i r o d a l m a	3210	0	1.000
b í r s á g	171	0	1.000
b i r t o k	476	0	1.000
b i r t o k a	764	0	1.000
b i r t o k l á s	89	0	1.000
b i r t o k l ó	18	0	1.000
b i r t o k o s	314	0	1.000
b i r t o k o s a	1610	0	1.000
b i t a n g	85	0	1.000
b i t ó	20	0	1.000
b i t o r l á s	40	0	1.000
b i t o r l ó	121	0	1.000
b i v a ly	123	0	1.000
b i z a k o d á s	67	0	1.000
b i z a k o d ó	105	0	1.000
b i z a l m a s	341	0	1.000
b i z a l m a s s á g	23	0	1.000
b i z a r r	556	0	1.000
b í z ó	11	0	1.000
b i z o d a l o m	28	0	1.000
b i z o m á ny o s	27	0	1.000
b i z o ny í t á s	291	0	1.000
b i z o ny í t v á ny	264	0	1.000
b i z o ny l a t	178	0	1.000
b i z o ny o s	2540	0	1.000
b i z o ny o s s á g	217	0	1.000
b i z o ny s á g	60	0	1.000
b i z o ny t a l a n	1750	0	1.000
b i z o t t s á g	23800	0	1.000
b i zs u	14	0	1.000
b i z t a t ó	688	0	1.000
b i z t o n s á g	736	0	1.000
b i z t o s	10800	0	1.000
b i z t o s í t á s	354	0	1.000
b i z t o s í t ó	1770	0	1.000
b i z t o s s á g	52	0	1.000
b l o k á d	109	0	1.000
b l o k k	1510	0	1.000
b l o k k o l á s	12	0	1.000
b l ú z	22	0	1.000
b o cs á n a t	23	0	1.000
b o cs á n a t o s	54	0	1.000
b o cs á t á s	157	0	1.000
b ó d é	40	0	1.000
b ó d u l a t	30	0	1.000
b ó d u l t s á g	17	0	1.000
b o dz a	27	0	1.000
b o g á n cs	24	0	1.000
b o g á r	323	0	1.000
b o g a r a s	45	0	1.000
b o h ó c	470	0	1.000
b o h ó c k o d á s	85	0	1.000
b o h ó s á g	25	0	1.000
b o h ó z a t	140	0	1.000
b o j k o t t á l	48	0	1.000
b o j t o r j á n	10	0	1.000
b ó k	393	0	1.000
b ó k o k	15	0	1.000
b o k o r	335	0	1.000
b o k r o k	115	0	1.000
b o k r o s	72	0	1.000
b o k sz	78	0	1.000
b o k sz o l	84	0	1.000
b o k sz o l ó	399	0	1.000
b o l d o g	5730	0	1.000
b o l d o g a b b	289	0	1.000
b o l d o g í t ó	44	0	1.000
b o l d o g s á g	1940	0	1.000
b o l d o g t a l a n	830	0	1.000
b o l d o g u l á s	127	0	1.000
b o l g á r	167	0	1.000
b o l h a	85	0	1.000
b ó l i n t á s	10	0	1.000
b o l o n d	3070	0	1.000
b o l o n d o s	36	0	1.000
b o l o n d o z á s	19	0	1.000
b o l o n d s á g	359	0	1.000
b o l s e v i z m u s	135	0	1.000
b o l t	602	0	1.000
b o l t o s	283	0	1.000
b o l t o z a t	62	0	1.000
b o ly	46	0	1.000
b o ly g ó	707	0	1.000
b o ly h o k	10	0	1.000
b o m b á k	54	0	1.000
b o m b a sz t i k u s	31	0	1.000
b o m b á z á s	121	0	1.000
b o m b á z ó	174	0	1.000
b o m l á s	614	0	1.000
b o m l a sz t ó	14	0	1.000
b o n	30	0	1.000
b o n c o l á s	74	0	1.000
b o n t á s	144	0	1.000
b o n t ó	19	0	1.000
b o ny o d a l o m	65	0	1.000
b o ny o l u l t	3400	0	1.000
b o ny o l u l t s á g	37	0	1.000
b ó r	22	0	1.000
b o r b é ly	140	0	1.000
b o r d á k	40	0	1.000
b o r d é ly	21	0	1.000
b o r d ó	14	0	1.000
b o r í t á s	85	0	1.000
b o r í t ó	76	0	1.000
b o r j ú	152	0	1.000
b o r o g a t á s	33	0	1.000
b o r o k	637	0	1.000
b o r o n g ó s	11	0	1.000
b o r o s	73	0	1.000
b o r o s ty á n	27	0	1.000
b o r o t v á l á s	14	0	1.000
b o r o t v á l t	9	0	1.000
b o r r a v a l ó	108	0	1.000
b o r s	51	0	1.000
b o r s ó	124	0	1.000
b o r ú	59	0	1.000
b o r u l á s	12	0	1.000
b o r ú s	163	0	1.000
b o r z	67	0	1.000
b o r z a l m a s	210	0	1.000
b o r z a s	26	0	1.000
b o r z a sz t ó	169	0	1.000
b o r z o n g á s	29	0	1.000
b o r z o n g a t ó	25	0	1.000
b o s sz a n t á s	28	0	1.000
b o s sz a n t ó	186	0	1.000
b o s sz ú	1310	0	1.000
b o s sz ú s	80	0	1.000
b o s sz ú s á g	58	0	1.000
b o s sz ú s á g o k	9	0	1.000
b o sz o r k á ny	716	0	1.000
b o sz o r k á ny o k	338	0	1.000
b o sz o r k á ny s á g	79	0	1.000
b o t a n i k u s	64	0	1.000
b o t j a	187	0	1.000
b o t l á s	89	0	1.000
b o t l á s o k	11	0	1.000
b o t o s	18	0	1.000
b o t r á ny	773	0	1.000
b o t r á ny o s	700	0	1.000
b ó v l i	28	0	1.000
b o k s	113	0	1.000
b o z ó t	99	0	1.000
b o z ó t o s	21	0	1.000
b r a ty i z á s	13	0	1.000
b r a v ó	19	0	1.000
b r a z i l	190	0	1.000
b r i g á d	195	0	1.000
b r i g a n t i	11	0	1.000
b r i l i á n s	36	0	1.000
b r i l l i á n s	18	0	1.000
b r o k k o l i	22	0	1.000
b r o n z	96	0	1.000
b r o w n	224	0	1.000
b r u t a l i t á s	164	0	1.000
b r u t t ó	28	0	1.000
b ú	527	0	1.000
b ú cs ú	239	0	1.000
b ú cs ú z t a t á s	11	0	1.000
b ú cs ú z t a t ó	28	0	1.000
b u d d h i s t a	110	0	1.000
b u g gy a n t	10	0	1.000
b u g r i s	93	0	1.000
b u j a s á g	64	0	1.000
b u j d o s ó	120	0	1.000
b u k á s	536	0	1.000
b u k ó s i s a k	21	0	1.000
b u k o t t	95	0	1.000
b u k t a t ó	8	0	1.000
b u l a	15	0	1.000
b u l i	1830	0	1.000
b u l l a	42	0	1.000
b u l v á r s a j t ó	114	0	1.000
b u m e r á n g	31	0	1.000
b u m f o r d i	23	0	1.000
b u m m	17	0	1.000
b u n k ó	576	0	1.000
b ű n p á r t o l á s	10	0	1.000
b u ny ó	32	0	1.000
b u ny ó s	227	0	1.000
b u r g o ny a	222	0	1.000
b u r j á n z á s	98	0	1.000
b u r k o l a t	152	0	1.000
b u r k o l ó	16	0	1.000
b u r k o l t	11	0	1.000
b u r o k	114	0	1.000
b u r zs o á	48	0	1.000
b u r zs u j	37	0	1.000
b ú s	66	0	1.000
b u s m a n	17	0	1.000
b u sz	617	0	1.000
b u t a	666	0	1.000
b u t á n	17	0	1.000
b u t a s á g	501	0	1.000
b u t a s á g o k	14	0	1.000
b u t i k	22	0	1.000
b ú t o r	222	0	1.000
b ú t o r z a t	29	0	1.000
b u t u s	18	0	1.000
b ú v á r k o d á s	62	0	1.000
b u z d í t á s	103	0	1.000
b u z d í t ó	10	0	1.000
b u z e r á n s	8	0	1.000
b u z g a l o m	73	0	1.000
b u z g ó	36	0	1.000
b u z g ó s á g	55	0	1.000
b u z i	299	0	1.000
b u z i s	15	0	1.000
b u z o g á ny	45	0	1.000
c a e s a r	224	0	1.000
c é c ó	19	0	1.000
c e l l a	321	0	1.000
c e l l u l ó z	15	0	1.000
c é l o d	30	0	1.000
c é l o z g a t á s	8	0	1.000
c é l t a l a n	408	0	1.000
c é l t a l a n s á g	24	0	1.000
c é l ú	100	0	1.000
c é l z á s	185	0	1.000
c é l z á s o k	15	0	1.000
c é l z a t o s	19	0	1.000
c é l z ó	9	0	1.000
c é l z o t t	29	0	1.000
c e n z o r	123	0	1.000
c e n z ú r á z á s	16	0	1.000
c e r b e r u s	56	0	1.000
c é z á r	95	0	1.000
c i a n i d	8	0	1.000
c i c a	513	0	1.000
c i c u s	84	0	1.000
c i f r a s á g	25	0	1.000
c i k l i k u s	27	0	1.000
c i k l o n	84	0	1.000
c i k l u s	838	0	1.000
c i m b a l o m	31	0	1.000
c i m b o r á k	106	0	1.000
c i n c o g á s	14	0	1.000
c i n i k u s	576	0	1.000
c i n i z m u s	291	0	1.000
c i n k o s	46	0	1.000
c i o n i s t a	43	0	1.000
c i o n i z m u s	88	0	1.000
c i p ó	38	0	1.000
c i p r u s	170	0	1.000
c i r k á l ó	45	0	1.000
c i r k u sz	504	0	1.000
c i r m o s	33	0	1.000
c i t r o m	179	0	1.000
c i v a k o d á s	40	0	1.000
c i v i l i z á l t	282	0	1.000
c i v ó d á s	23	0	1.000
c o m b	40	0	1.000
c o r p u s	41	0	1.000
cs á b	31	0	1.000
cs á b í t á s	1770	0	1.000
cs á b í t ó	477	0	1.000
cs á b o s	30	0	1.000
cs a cs i	101	0	1.000
cs á k á ny	19	0	1.000
cs á k ó	36	0	1.000
cs a l á d i a s	53	0	1.000
cs a l á d j a	19	0	1.000
cs a l á d o m	2070	0	1.000
cs a l á d o s	31	0	1.000
cs a l á n	193	0	1.000
cs a l á r d	72	0	1.000
cs a l á r d s á g	48	0	1.000
cs a l á s	643	0	1.000
cs a l i t	15	0	1.000
cs a l ó	541	0	1.000
cs a l ó d á s	357	0	1.000
cs a l ó d o t t	391	0	1.000
cs a l ó d o t t s á g	50	0	1.000
cs a l o g a t ó	68	0	1.000
cs a p á s	628	0	1.000
cs a p a t a	21100	0	1.000
cs a p d a	262	0	1.000
cs a p j a	40	0	1.000
cs a p k o d á s	15	0	1.000
cs a p n i v a l ó	103	0	1.000
cs a p ó	26	0	1.000
cs a p o d á r	23	0	1.000
cs a p o k	55	0	1.000
cs a p o l á s	12	0	1.000
cs a p o n g á s	14	0	1.000
cs a p o n g ó	24	0	1.000
cs a p o s	403	0	1.000
cs a r n o k	224	0	1.000
cs a t	22	0	1.000
cs a t a	883	0	1.000
cs a t á r	705	0	1.000
cs a t á r o z á s	119	0	1.000
cs a t l a k o z á s	2830	0	1.000
cs a t l a k o z ó	252	0	1.000
cs a t l ó s	77	0	1.000
cs a t o l á s	28	0	1.000
cs a t o r n a	1970	0	1.000
cs a t o r n á z á s	53	0	1.000
cs a t t a n á s	12	0	1.000
