base	type	position	size	tr
пи г е жз	TTT	1	disyllabic	FALSE
 гж е з	TTT	2	monosyllabic	FALSE
би гж е з	TTT	2	disyllabic	FALSE
 г е жз	TTT	1	monosyllabic	FALSE
 г е жз	TTT	1	monosyllabic	FALSE
 г о жл	TTR	1	monosyllabic	TRUE
 г о жл	TTR	1	monosyllabic	TRUE
лу гж е л	TTR	2	disyllabic	TRUE
ну г о жл	TTR	1	disyllabic	TRUE
 г е жл	TTR	1	monosyllabic	TRUE
 г е жл	TTR	1	monosyllabic	TRUE
 г о жл	TTR	1	monosyllabic	TRUE
 г е жл	TTR	1	monosyllabic	TRUE
 гж о л	TTR	2	monosyllabic	TRUE
 г е жл	TTR	1	monosyllabic	TRUE
 гж е л	TTR	2	monosyllabic	TRUE
ти гж о н	TTR	2	disyllabic	TRUE
ку г е жн	TTR	1	disyllabic	TRUE
ма гж е н	TTR	2	disyllabic	TRUE
ба г о жн	TTR	1	disyllabic	TRUE
 гж о н	TTR	2	monosyllabic	TRUE
 гж о н	TTR	2	monosyllabic	TRUE
ма гж о н	TTR	2	disyllabic	TRUE
 г е жн	TTR	1	monosyllabic	TRUE
пу гж е н	TTR	2	disyllabic	TRUE
 гж е н	TTR	2	monosyllabic	TRUE
зу г о жн	TTR	1	disyllabic	TRUE
му г о жн	TTR	1	disyllabic	TRUE
ли гж е н	TTR	2	disyllabic	TRUE
ги г е жн	TTR	1	disyllabic	TRUE
 г о з	TT	0	monosyllabic	FALSE
 г е з	TT	0	monosyllabic	FALSE
ши г е з	TT	0	disyllabic	FALSE
 г о з	TT	0	monosyllabic	FALSE
 г о з	TT	0	monosyllabic	FALSE
ху г е з	TT	0	disyllabic	FALSE
 г о з	TT	0	monosyllabic	FALSE
пи г о з	TT	0	disyllabic	FALSE
 г о з	TT	0	monosyllabic	FALSE
ту г е з	TT	0	disyllabic	FALSE
ра г е з	TT	0	disyllabic	FALSE
 г е з	TT	0	monosyllabic	FALSE
 г о з	TT	0	monosyllabic	FALSE
га г е зг	TTT	1	disyllabic	FALSE
ти г о зг	TTT	1	disyllabic	FALSE
ха г е зг	TTT	1	disyllabic	FALSE
ку гз е г	TTT	2	disyllabic	FALSE
жу гз е г	TTT	2	disyllabic	FALSE
 г е зг	TTT	1	monosyllabic	FALSE
ру г о зд	TTT	1	disyllabic	FALSE
ги гз о д	TTT	2	disyllabic	FALSE
ри гз о д	TTT	2	disyllabic	FALSE
ка гз о д	TTT	2	disyllabic	FALSE
ку гз о д	TTT	2	disyllabic	FALSE
ти г е зд	TTT	1	disyllabic	FALSE
жу г е зд	TTT	1	disyllabic	FALSE
гу г о зд	TTT	1	disyllabic	FALSE
 гз е ж	TTT	2	monosyllabic	FALSE
жа г е зж	TTT	1	disyllabic	FALSE
 гз е ж	TTT	2	monosyllabic	FALSE
 г е зж	TTT	1	monosyllabic	FALSE
ги г о зм	TTR	1	disyllabic	TRUE
жу гз е м	TTR	2	disyllabic	TRUE
 г е зм	TTR	1	monosyllabic	TRUE
ла г е зм	TTR	1	disyllabic	TRUE
 г е зм	TTR	1	monosyllabic	TRUE
ту г е зм	TTR	1	disyllabic	TRUE
ти г е зм	TTR	1	disyllabic	TRUE
 гз о м	TTR	2	monosyllabic	TRUE
 гз о м	TTR	2	monosyllabic	TRUE
 г о зм	TTR	1	monosyllabic	TRUE
ти гз о м	TTR	2	disyllabic	TRUE
 гз о м	TTR	2	monosyllabic	TRUE
ру г о зм	TTR	1	disyllabic	TRUE
 гз е н	TTR	2	monosyllabic	TRUE
лу гз е н	TTR	2	disyllabic	TRUE
ри г о зн	TTR	1	disyllabic	TRUE
пу г е зн	TTR	1	disyllabic	TRUE
 гз е н	TTR	2	monosyllabic	TRUE
 гз е н	TTR	2	monosyllabic	TRUE
 г о зн	TTR	1	monosyllabic	TRUE
 гз е н	TTR	2	monosyllabic	TRUE
та гз о н	TTR	2	disyllabic	TRUE
 г е зр	TTR	1	monosyllabic	TRUE
пу гз о р	TTR	2	disyllabic	TRUE
зу г о зр	TTR	1	disyllabic	TRUE
та г е зр	TTR	1	disyllabic	TRUE
 гз о р	TTR	2	monosyllabic	TRUE
ба г е зр	TTR	1	disyllabic	TRUE
 г е зр	TTR	1	monosyllabic	TRUE
 гз о р	TTR	2	monosyllabic	TRUE
 гз е р	TTR	2	monosyllabic	TRUE
зу г е зр	TTR	1	disyllabic	TRUE
 гз е р	TTR	2	monosyllabic	TRUE
зи г о м	TR	0	disyllabic	TRUE
 г е м	TR	0	monosyllabic	TRUE
 г е м	TR	0	monosyllabic	TRUE
 г е м	TR	0	monosyllabic	TRUE
 г о м	TR	0	monosyllabic	TRUE
ти г е м	TR	0	disyllabic	TRUE
 г о м	TR	0	monosyllabic	TRUE
 г о м	TR	0	monosyllabic	TRUE
ла г о м	TR	0	disyllabic	TRUE
 г е м	TR	0	monosyllabic	TRUE
шу г е м	TR	0	disyllabic	TRUE
 г е м	TR	0	monosyllabic	TRUE
га г е м	TR	0	disyllabic	TRUE
ла г о м	TR	0	disyllabic	TRUE
 г о м	TR	0	monosyllabic	TRUE
ли гм е в	TRR	2	disyllabic	FALSE
 гм о в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
су гм е в	TRR	2	disyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
ки гм е в	TRR	2	disyllabic	FALSE
 гм о в	TRR	2	monosyllabic	FALSE
 г о мв	TRR	1	monosyllabic	FALSE
му гм е в	TRR	2	disyllabic	FALSE
 г о мв	TRR	1	monosyllabic	FALSE
су гм е в	TRR	2	disyllabic	FALSE
 г е мв	TRR	1	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 г е мв	TRR	1	monosyllabic	FALSE
му гм о в	TRR	2	disyllabic	FALSE
 гм о в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
жа г о мв	TRR	1	disyllabic	FALSE
гу гм о в	TRR	2	disyllabic	FALSE
ги гм е в	TRR	2	disyllabic	FALSE
ти гм о в	TRR	2	disyllabic	FALSE
 г о мв	TRR	1	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 г о мв	TRR	1	monosyllabic	FALSE
лу гм е в	TRR	2	disyllabic	FALSE
 гм о в	TRR	2	monosyllabic	FALSE
 гм е в	TRR	2	monosyllabic	FALSE
 г е мв	TRR	1	monosyllabic	FALSE
 г о мв	TRR	1	monosyllabic	FALSE
ти гм е в	TRR	2	disyllabic	FALSE
 г е мв	TRR	1	monosyllabic	FALSE
ру г о мв	TRR	1	disyllabic	FALSE
шу г о мв	TRR	1	disyllabic	FALSE
ха г о мв	TRR	1	disyllabic	FALSE
 г е мв	TRR	1	monosyllabic	FALSE
ра г е мв	TRR	1	disyllabic	FALSE
 г о р	TR	0	monosyllabic	TRUE
жу г е р	TR	0	disyllabic	TRUE
 г о р	TR	0	monosyllabic	TRUE
 г о р	TR	0	monosyllabic	TRUE
зу г е р	TR	0	disyllabic	TRUE
 г е р	TR	0	monosyllabic	TRUE
ку г о р	TR	0	disyllabic	TRUE
га г о р	TR	0	disyllabic	TRUE
шу г о р	TR	0	disyllabic	TRUE
бу г е р	TR	0	disyllabic	TRUE
ги г е р	TR	0	disyllabic	TRUE
жа д е б	TT	0	disyllabic	FALSE
пи д е б	TT	0	disyllabic	FALSE
 д е б	TT	0	monosyllabic	FALSE
 д о б	TT	0	monosyllabic	FALSE
пи д о б	TT	0	disyllabic	FALSE
шу д е б	TT	0	disyllabic	FALSE
ба д о б	TT	0	disyllabic	FALSE
 д о б	TT	0	monosyllabic	FALSE
 д о б	TT	0	monosyllabic	FALSE
 дб о в	TTR	2	monosyllabic	TRUE
 д о бв	TTR	1	monosyllabic	TRUE
ли дб о в	TTR	2	disyllabic	TRUE
 д е бв	TTR	1	monosyllabic	TRUE
 дб о в	TTR	2	monosyllabic	TRUE
 д е бв	TTR	1	monosyllabic	TRUE
 дб о в	TTR	2	monosyllabic	TRUE
ми д е бв	TTR	1	disyllabic	TRUE
 д о бв	TTR	1	monosyllabic	TRUE
ши д е бв	TTR	1	disyllabic	TRUE
 дб о в	TTR	2	monosyllabic	TRUE
 д е бв	TTR	1	monosyllabic	TRUE
му д о бв	TTR	1	disyllabic	TRUE
 дб о д	TTT	2	monosyllabic	FALSE
 дб о д	TTT	2	monosyllabic	FALSE
бу дб о д	TTT	2	disyllabic	FALSE
 д е бд	TTT	1	monosyllabic	FALSE
жа д о бд	TTT	1	disyllabic	FALSE
ла дб е д	TTT	2	disyllabic	FALSE
 д е бд	TTT	1	monosyllabic	FALSE
бу д о бд	TTT	1	disyllabic	FALSE
 д о в	TR	0	monosyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
 д о в	TR	0	monosyllabic	TRUE
лу д е в	TR	0	disyllabic	TRUE
ку д о в	TR	0	disyllabic	TRUE
пу д о в	TR	0	disyllabic	TRUE
си д е в	TR	0	disyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
хи д е в	TR	0	disyllabic	TRUE
си д о в	TR	0	disyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
би д о в	TR	0	disyllabic	TRUE
жа д е в	TR	0	disyllabic	TRUE
ша д е в	TR	0	disyllabic	TRUE
 д е в	TR	0	monosyllabic	TRUE
ма д о в	TR	0	disyllabic	TRUE
 д о з	TT	0	monosyllabic	FALSE
си д е з	TT	0	disyllabic	FALSE
жа д о з	TT	0	disyllabic	FALSE
 д е з	TT	0	monosyllabic	FALSE
жа д о з	TT	0	disyllabic	FALSE
 д о з	TT	0	monosyllabic	FALSE
ну д е з	TT	0	disyllabic	FALSE
ма д е з	TT	0	disyllabic	FALSE
ка д о з	TT	0	disyllabic	FALSE
 д о з	TT	0	monosyllabic	FALSE
 д е з	TT	0	monosyllabic	FALSE
 д е з	TT	0	monosyllabic	FALSE
ша д е з	TT	0	disyllabic	FALSE
ри д о зг	TTT	1	disyllabic	FALSE
 дз о г	TTT	2	monosyllabic	FALSE
 дз е г	TTT	2	monosyllabic	FALSE
ши д о зг	TTT	1	disyllabic	FALSE
 д о зд	TTT	1	monosyllabic	FALSE
 д о зд	TTT	1	monosyllabic	FALSE
пу дз е д	TTT	2	disyllabic	FALSE
 д о зд	TTT	1	monosyllabic	FALSE
 дз е ж	TTT	2	monosyllabic	FALSE
 д о зж	TTT	1	monosyllabic	FALSE
ши д о зж	TTT	1	disyllabic	FALSE
 дз е ж	TTT	2	monosyllabic	FALSE
ши дз о ж	TTT	2	disyllabic	FALSE
 дз е ж	TTT	2	monosyllabic	FALSE
 д о зж	TTT	1	monosyllabic	FALSE
ги дз е ж	TTT	2	disyllabic	FALSE
ха д о зж	TTT	1	disyllabic	FALSE
ма дз о ж	TTT	2	disyllabic	FALSE
 дз о м	TTR	2	monosyllabic	TRUE
ки д о зм	TTR	1	disyllabic	TRUE
ла д е зм	TTR	1	disyllabic	TRUE
 дз е м	TTR	2	monosyllabic	TRUE
ха д е зм	TTR	1	disyllabic	TRUE
ша д о зм	TTR	1	disyllabic	TRUE
 дз е м	TTR	2	monosyllabic	TRUE
лу дз е м	TTR	2	disyllabic	TRUE
ка дз е н	TTR	2	disyllabic	TRUE
 дз о н	TTR	2	monosyllabic	TRUE
ши дз е н	TTR	2	disyllabic	TRUE
 дз о н	TTR	2	monosyllabic	TRUE
 д о зн	TTR	1	monosyllabic	TRUE
та д е зн	TTR	1	disyllabic	TRUE
 д о зн	TTR	1	monosyllabic	TRUE
 д е зн	TTR	1	monosyllabic	TRUE
ру дз е р	TTR	2	disyllabic	TRUE
ка дз о р	TTR	2	disyllabic	TRUE
гу дз е р	TTR	2	disyllabic	TRUE
ги дз о р	TTR	2	disyllabic	TRUE
 дз е р	TTR	2	monosyllabic	TRUE
жа д е р	TR	0	disyllabic	TRUE
ши д о р	TR	0	disyllabic	TRUE
си д о р	TR	0	disyllabic	TRUE
 д е р	TR	0	monosyllabic	TRUE
 д е р	TR	0	monosyllabic	TRUE
 д е р	TR	0	monosyllabic	TRUE
ку д е р	TR	0	disyllabic	TRUE
ка д о р	TR	0	disyllabic	TRUE
ка д о р	TR	0	disyllabic	TRUE
ша д е р	TR	0	disyllabic	TRUE
ма д о р	TR	0	disyllabic	TRUE
си д о р	TR	0	disyllabic	TRUE
 ж о б	TT	0	monosyllabic	FALSE
 ж е б	TT	0	monosyllabic	FALSE
пи ж о б	TT	0	disyllabic	FALSE
бу ж е б	TT	0	disyllabic	FALSE
 ж о б	TT	0	monosyllabic	FALSE
та ж о б	TT	0	disyllabic	FALSE
ру ж о б	TT	0	disyllabic	FALSE
ба ж е б	TT	0	disyllabic	FALSE
ли ж о б	TT	0	disyllabic	FALSE
бу ж е бв	TTR	1	disyllabic	TRUE
 ж е бв	TTR	1	monosyllabic	TRUE
ма ж о бв	TTR	1	disyllabic	TRUE
ху жб о в	TTR	2	disyllabic	TRUE
 жб е в	TTR	2	monosyllabic	TRUE
ху ж о бв	TTR	1	disyllabic	TRUE
 жб е д	TTT	2	monosyllabic	FALSE
 жб о д	TTT	2	monosyllabic	FALSE
жа ж о бд	TTT	1	disyllabic	FALSE
 жб о д	TTT	2	monosyllabic	FALSE
 жб е д	TTT	2	monosyllabic	FALSE
 ж е в	TR	0	monosyllabic	TRUE
ша ж е в	TR	0	disyllabic	TRUE
 ж о в	TR	0	monosyllabic	TRUE
ма ж е в	TR	0	disyllabic	TRUE
ру ж е в	TR	0	disyllabic	TRUE
 ж о в	TR	0	monosyllabic	TRUE
ку ж е в	TR	0	disyllabic	TRUE
ра ж е в	TR	0	disyllabic	TRUE
 ж о в	TR	0	monosyllabic	TRUE
 ж е в	TR	0	monosyllabic	TRUE
ки ж е в	TR	0	disyllabic	TRUE
 ж е в	TR	0	monosyllabic	TRUE
 ж е в	TR	0	monosyllabic	TRUE
ру ж о в	TR	0	disyllabic	TRUE
ма ж о в	TR	0	disyllabic	TRUE
ли ж о в	TR	0	disyllabic	TRUE
 ж е г	TT	0	monosyllabic	FALSE
ба ж о г	TT	0	disyllabic	FALSE
 ж о г	TT	0	monosyllabic	FALSE
 ж о г	TT	0	monosyllabic	FALSE
ма ж е г	TT	0	disyllabic	FALSE
 ж е г	TT	0	monosyllabic	FALSE
ми ж е г	TT	0	disyllabic	FALSE
 ж е г	TT	0	monosyllabic	FALSE
 ж о г	TT	0	monosyllabic	FALSE
си ж е гб	TTT	1	disyllabic	FALSE
 ж е гб	TTT	1	monosyllabic	FALSE
ри жг о б	TTT	2	disyllabic	FALSE
 ж е гв	TTR	1	monosyllabic	TRUE
 жг е в	TTR	2	monosyllabic	TRUE
 жг е в	TTR	2	monosyllabic	TRUE
зу жг о в	TTR	2	disyllabic	TRUE
ну ж е гв	TTR	1	disyllabic	TRUE
ла жг о в	TTR	2	disyllabic	TRUE
 жг е в	TTR	2	monosyllabic	TRUE
 жг о в	TTR	2	monosyllabic	TRUE
жа ж о гж	TTT	1	disyllabic	FALSE
зу жг о ж	TTT	2	disyllabic	FALSE
 ж о гж	TTT	1	monosyllabic	FALSE
 ж е гж	TTT	1	monosyllabic	FALSE
ми жг е ж	TTT	2	disyllabic	FALSE
ри ж о гж	TTT	1	disyllabic	FALSE
 жг е ж	TTT	2	monosyllabic	FALSE
ма жг о ж	TTT	2	disyllabic	FALSE
ха жг е з	TTT	2	disyllabic	FALSE
бу ж е гз	TTT	1	disyllabic	FALSE
ти жг е з	TTT	2	disyllabic	FALSE
ба ж е гз	TTT	1	disyllabic	FALSE
 жг е з	TTT	2	monosyllabic	FALSE
 ж е гз	TTT	1	monosyllabic	FALSE
ха жг е з	TTT	2	disyllabic	FALSE
 ж о гм	TTR	1	monosyllabic	TRUE
 ж е гм	TTR	1	monosyllabic	TRUE
бу ж о гм	TTR	1	disyllabic	TRUE
ма жг е м	TTR	2	disyllabic	TRUE
 ж о гм	TTR	1	monosyllabic	TRUE
ха ж е гм	TTR	1	disyllabic	TRUE
ша ж о гм	TTR	1	disyllabic	TRUE
ши ж е гм	TTR	1	disyllabic	TRUE
ру ж е гр	TTR	1	disyllabic	TRUE
 жг е р	TTR	2	monosyllabic	TRUE
 жг е р	TTR	2	monosyllabic	TRUE
хи ж о гр	TTR	1	disyllabic	TRUE
ху ж о гр	TTR	1	disyllabic	TRUE
 жг е р	TTR	2	monosyllabic	TRUE
ну жг о р	TTR	2	disyllabic	TRUE
му ж е гр	TTR	1	disyllabic	TRUE
лу жг е р	TTR	2	disyllabic	TRUE
 жг о р	TTR	2	monosyllabic	TRUE
 ж е гр	TTR	1	monosyllabic	TRUE
 ж е д	TT	0	monosyllabic	FALSE
ли ж о д	TT	0	disyllabic	FALSE
ла ж о д	TT	0	disyllabic	FALSE
 ж е д	TT	0	monosyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
ри ж о д	TT	0	disyllabic	FALSE
му ж о д	TT	0	disyllabic	FALSE
ку ж о д	TT	0	disyllabic	FALSE
 ж е д	TT	0	monosyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
та ж о д	TT	0	disyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
 ж е д	TT	0	monosyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
гу ж е д	TT	0	disyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
 ж о д	TT	0	monosyllabic	FALSE
зу жд е б	TTT	2	disyllabic	FALSE
 ж е дб	TTT	1	monosyllabic	FALSE
хи жд о б	TTT	2	disyllabic	FALSE
 жд о б	TTT	2	monosyllabic	FALSE
зи жд е б	TTT	2	disyllabic	FALSE
лу жд о в	TTR	2	disyllabic	TRUE
ку жд е в	TTR	2	disyllabic	TRUE
 жд о в	TTR	2	monosyllabic	TRUE
 жд е в	TTR	2	monosyllabic	TRUE
 жд о в	TTR	2	monosyllabic	TRUE
 ж е дв	TTR	1	monosyllabic	TRUE
ха жд е в	TTR	2	disyllabic	TRUE
лу жд е в	TTR	2	disyllabic	TRUE
 ж е дз	TTT	1	monosyllabic	FALSE
жи жд о з	TTT	2	disyllabic	FALSE
 ж е дз	TTT	1	monosyllabic	FALSE
 жд е з	TTT	2	monosyllabic	FALSE
 ж о дз	TTT	1	monosyllabic	FALSE
хи жд е з	TTT	2	disyllabic	FALSE
 ж о дз	TTT	1	monosyllabic	FALSE
 жд о р	TTR	2	monosyllabic	TRUE
ра ж о др	TTR	1	disyllabic	TRUE
 ж е др	TTR	1	monosyllabic	TRUE
лу жд е р	TTR	2	disyllabic	TRUE
ха жд е р	TTR	2	disyllabic	TRUE
 ж о др	TTR	1	monosyllabic	TRUE
гу ж е др	TTR	1	disyllabic	TRUE
ла жд е р	TTR	2	disyllabic	TRUE
ма ж о др	TTR	1	disyllabic	TRUE
 жд е р	TTR	2	monosyllabic	TRUE
 жд о р	TTR	2	monosyllabic	TRUE
ка ж е з	TT	0	disyllabic	FALSE
 ж е з	TT	0	monosyllabic	FALSE
 ж е з	TT	0	monosyllabic	FALSE
 ж е з	TT	0	monosyllabic	FALSE
 ж о з	TT	0	monosyllabic	FALSE
 ж о з	TT	0	monosyllabic	FALSE
 ж о з	TT	0	monosyllabic	FALSE
ли ж е з	TT	0	disyllabic	FALSE
си ж е з	TT	0	disyllabic	FALSE
ба ж о з	TT	0	disyllabic	FALSE
 ж о з	TT	0	monosyllabic	FALSE
жу жз е г	TTT	2	disyllabic	FALSE
ги жз е г	TTT	2	disyllabic	FALSE
 ж е зг	TTT	1	monosyllabic	FALSE
 жз е г	TTT	2	monosyllabic	FALSE
 жз о г	TTT	2	monosyllabic	FALSE
пу жз о г	TTT	2	disyllabic	FALSE
бу жз о г	TTT	2	disyllabic	FALSE
 ж е зг	TTT	1	monosyllabic	FALSE
 ж о зг	TTT	1	monosyllabic	FALSE
 жз е г	TTT	2	monosyllabic	FALSE
пу жз о г	TTT	2	disyllabic	FALSE
 жз е г	TTT	2	monosyllabic	FALSE
 жз е г	TTT	2	monosyllabic	FALSE
гу ж е зг	TTT	1	disyllabic	FALSE
 жз о г	TTT	2	monosyllabic	FALSE
лу жз е д	TTT	2	disyllabic	FALSE
му жз о д	TTT	2	disyllabic	FALSE
га ж е зж	TTT	1	disyllabic	FALSE
 жз о ж	TTT	2	monosyllabic	FALSE
 ж о зж	TTT	1	monosyllabic	FALSE
гу жз е ж	TTT	2	disyllabic	FALSE
 жз о ж	TTT	2	monosyllabic	FALSE
ши жз о ж	TTT	2	disyllabic	FALSE
 жз о ж	TTT	2	monosyllabic	FALSE
 ж е зж	TTT	1	monosyllabic	FALSE
жу жз о ж	TTT	2	disyllabic	FALSE
