item	nak	nek	naknek
a j k	27	0	1.000
a j k a k	186	0	1.000
a j k U	29	0	1.000
A j t a t o s	13	0	1.000
A j t a t o s s A g	63	0	1.000
a j t O	1950	0	1.000
a j t O k	191	0	1.000
A j u l A s	38	0	1.000
A j u l t	20	0	1.000
a k A c	41	0	1.000
a k a d A ly	660	0	1.000
a k a d A ly o k	258	0	1.000
a k a d A ly o z	481	0	1.000
a k a d o z O	5	0	1.000
a k a r A s	569	0	1.000
a k a r a t o d	187	0	1.000
a k a r a t o s	29	0	1.000
a k a r a t U	14	0	1.000
a k a r O	96	0	1.000
a k a r t	14	0	1.000
a k a r t a	14	0	1.000
a k a sz t A s	27	0	1.000
a k a sz t O	27	0	1.000
a k c e n t u s	17	0	1.000
a k c i O	3160	0	1.000
a k k o r d	33	0	1.000
a k k r e d i t A l t	18	0	1.000
a k k u	105	0	1.000
a k o l	38	0	1.000
a k t	33	0	1.000
a k t a	32	0	1.000
a k t I v A k	19	0	1.000
a k t i v i t A s	456	0	1.000
a k t u s	563	0	1.000
a k u sz t i k u s	9	0	1.000
a k u t	18	0	1.000
a k v A r i u m	77	0	1.000
a l a cs o ny	2170	0	1.000
a l a cs o ny a b b	500	0	1.000
a l a cs o ny a k	26	0	1.000
a l a g U t	217	0	1.000
a l a k	2370	0	1.000
a l a k I t A s	207	0	1.000
a l a k I t O	20	0	1.000
a l a k j a	7000	0	1.000
a l a k t a l a n	26	0	1.000
a l a k U	368	0	1.000
a l a k u l A s	114	0	1.000
a l a k u l a t	777	0	1.000
a l a k u l t	15	0	1.000
a l a k z a t	321	0	1.000
a l a n t a s	120	0	1.000
a l a n t a s a b b	15	0	1.000
a l a ny	594	0	1.000
a l a ny a	565	0	1.000
a l a p I t A s	99	0	1.000
a l a p I t O	549	0	1.000
a l a p I t v A ny	7630	0	1.000
a l a p j a	5710	0	1.000
a l a p o k	677	0	1.000
a l a p o s	599	0	1.000
a l a p o s s A g	29	0	1.000
a l a p o z A s	158	0	1.000
a l a p o z O	39	0	1.000
a l a p t a l a n	2130	0	1.000
a l a p U	178	0	1.000
a l a p u l O	97	0	1.000
a l a p z a t	14	0	1.000
A l a r c	54	0	1.000
a l a t t o m o s	46	0	1.000
a l b a	87	0	1.000
a l b A n	48	0	1.000
a l b a t r o sz	14	0	1.000
a l b i z o t t s A g	366	0	1.000
a l b u m	895	0	1.000
A l c A z A s	60	0	1.000
a l cs o p o r t	37	0	1.000
A l d A s	506	0	1.000
A l d o m A s	29	0	1.000
A l d o z A s	67	0	1.000
A l d o z a t	3180	0	1.000
A l d o z a t o k	1580	0	1.000
a l f a j	41	0	1.000
a l g o r i t m u s	527	0	1.000
a l h a d n a gy	35	0	1.000
a l j	16	0	1.000
a l j a	529	0	1.000
a l j a s	169	0	1.000
a l j a s s A g	146	0	1.000
a l j z a t	266	0	1.000
a l k a l m a s	23900	0	1.000
a l k a l m a s s A g	111	0	1.000
a l k a l m a z A s	2100	0	1.000
a l k a l m a z O	170	0	1.000
a l k a l o m	1930	0	1.000
a l k a r	29	0	1.000
a l k a t	254	0	1.000
a l k a t U	38	0	1.000
a l k o h o l	613	0	1.000
a l k o ny	42	0	1.000
a l k o ny a t	72	0	1.000
a l k o t A s	3190	0	1.000
a l k o t m A ny	3050	0	1.000
a l k o t m A ny o s	354	0	1.000
a l k o t O	1730	0	1.000
a l k u	310	0	1.000
a l k u d o z A s	97	0	1.000
a l k u sz	212	0	1.000
A l l a	537	0	1.000
A l l a g	19	0	1.000
A l l a m	26600	0	1.000
A l l a m o k	7290	0	1.000
A l l a n d O	1970	0	1.000
A l l a n d O s A g	86	0	1.000
A l l a n d O s u l t	27	0	1.000
A l l a p o t	7350	0	1.000
A l l a p o t o s	15	0	1.000
A l l a p o t U	308	0	1.000
A l l A s	580	0	1.000
A l l A s o k	157	0	1.000
A l l A s t a l a n	46	0	1.000
A l l A s U	30	0	1.000
A l l a t	5660	0	1.000
A l l a t i a s	22	0	1.000
a l l e r g i A s	53	0	1.000
A l l h a t a t o s	105	0	1.000
A l l I t A s	1730	0	1.000
A l l I t m A ny	51	0	1.000
A l l I t O	15	0	1.000
A l l O	2720	0	1.000
A l l O k	1680	0	1.000
A l l o m A ny	2290	0	1.000
A l l o m A ny U	26	0	1.000
A l l o m A s	1540	0	1.000
A l l t	11	0	1.000
A l l v A ny	119	0	1.000
A l l v A ny z a t	27	0	1.000
a l m a	437	0	1.000
a l m a n a ch	21	0	1.000
a l m A s	13	0	1.000
A l m a t l a n s A g	28	0	1.000
A l m o d o z A s	183	0	1.000
A l m o d o z O	148	0	1.000
A l m o k	797	0	1.000
A l m o s	366	0	1.000
A l m o s s A g	29	0	1.000
A l n o k	66	0	1.000
A l n o k s A g	158	0	1.000
a l o m	165	0	1.000
A l o m	2660	0	1.000
a l o sz t A ly	120	0	1.000
a l p i n i z m u s	11	0	1.000
a l p o n t	25	0	1.000
a l s O	79	0	1.000
a l t A b o r n a gy	207	0	1.000
a l t a l a j	23	0	1.000
A l t a t A s	14	0	1.000
a l t a t O	171	0	1.000
a l t e n g e r n a gy	8	0	1.000
a l t e r e g O	15	0	1.000
a l v A s	413	0	1.000
a l v A z	24	0	1.000
a l v i l A g	263	0	1.000
a l v O	140	0	1.000
a m a l g A m	13	0	1.000
a m b I c i O	97	0	1.000
A m I t A s	92	0	1.000
A m I t O	11	0	1.000
a m o r f	22	0	1.000
a m p l i t U d O	23	0	1.000
A m u l a t	20	0	1.000
a n a l O g	98	0	1.000
a n a n A sz	17	0	1.000
a n a r ch i a	175	0	1.000
a n a t O m u s	15	0	1.000
a n d a l I t O	11	0	1.000
a n g l i a	952	0	1.000
a n g l i k A n	9	0	1.000
a n g o l	712	0	1.000
a n g o l o k	1650	0	1.000
a n gy a l	1870	0	1.000
a n i m i z m u s	21	0	1.000
a n n a	2200	0	1.000
a n O d	27	0	1.000
a n t e n n a	159	0	1.000
a n t i k	61	0	1.000
a n t i l o p	29	0	1.000
a n t i m o n	12	0	1.000
a ny a	6380	0	1.000
a ny a g	10100	0	1.000
a ny a g i a k	99	0	1.000
a ny a g i a s	53	0	1.000
a ny a g o k	4710	0	1.000
a ny A k	2600	0	1.000
a ny a s A g	120	0	1.000
a ny O s	192	0	1.000
a ny u	847	0	1.000
a p A d	762	0	1.000
a p a d A s	62	0	1.000
a p A ly	30	0	1.000
a p a s A g	23	0	1.000
a p A t	370	0	1.000
a p A t l a n	6	0	1.000
a p A t s A g	443	0	1.000
a p j a	8660	0	1.000
a p O	205	0	1.000
A p o l A s	125	0	1.000
A p o l O	289	0	1.000
A p o l t	137	0	1.000
a p O s	592	0	1.000
a p o s t o l	2700	0	1.000
a p o s t o l o k	1560	0	1.000
a p o sz t r O f	15	0	1.000
a p r O	570	0	1.000
a p r O d	150	0	1.000
a p r O l E k o s	45	0	1.000
a p r o p O	30	0	1.000
a p r O s A g	634	0	1.000
a p r O s A g o k	411	0	1.000
a p u	643	0	1.000
a p u k a	376	0	1.000
a p u s	48	0	1.000
a r a b	384	0	1.000
A r a d A s	130	0	1.000
A r a d a t	178	0	1.000
A r a j A n l a t	1060	0	1.000
A r a k	812	0	1.000
A r a m	364	0	1.000
A r a m l A s	270	0	1.000
A r a m l a t	402	0	1.000
a r a ny	1650	0	1.000
a r A ny	1630	0	1.000
a r a ny m o s O	10	0	1.000
a r a ny o m	11	0	1.000
a r a ny o s	350	0	1.000
a r A ny o s	547	0	1.000
a r A ny o s s A g	43	0	1.000
a r a ny o z A s	14	0	1.000
a r A ny t a l a n	344	0	1.000
a r A ny U	58	0	1.000
A r a p A ly	16	0	1.000
a r a t A s	351	0	1.000
a r a t O	39	0	1.000
A r b o c	50	0	1.000
a r c a	4300	0	1.000
a r c A t l a n	75	0	1.000
a r c A t l a n s A g	108	0	1.000
a r ch e t I p u s	60	0	1.000
a r ch I v u m	206	0	1.000
a r c U	228	0	1.000
a r c u l a t	163	0	1.000
A r f o ly a m	301	0	1.000
A r f o ly a m o k	94	0	1.000
a r k a n gy a l	125	0	1.000
A r m A ny	85	0	1.000
A r m A ny k o d O	10	0	1.000
A r ny	120	0	1.000
A r ny a l a t	52	0	1.000
A r ny E k o l A s	36	0	1.000
A r ny E k o l O	13	0	1.000
A r o k	221	0	1.000
A r o n	976	0	1.000
a r r o g A n s	173	0	1.000
A r t a l m a s	407	0	1.000
A r t a t l a n s A g	159	0	1.000
A r u	1760	0	1.000
A r U	101	0	1.000
A r u k	700	0	1.000
A r u l A s	547	0	1.000
A r u l k o d A s	17	0	1.000
A r u l k o d O	63	0	1.000
A r u l O	1820	0	1.000
A r u s	179	0	1.000
A r u s I t A s	32	0	1.000
A r u s I t O	10	0	1.000
A r v a s A g	44	0	1.000
A r z u h a n A s	14	0	1.000
A s a t A s	59	0	1.000
A s a t O	8	0	1.000
A s I t A s	7	0	1.000
A s k A l O d A s	20	0	1.000
A s O	40	0	1.000
a s sz o ny o k	3130	0	1.000
a s sz o ny o m	236	0	1.000
A s v A ny	148	0	1.000
A s v A ny o k	136	0	1.000
a sz	80	0	1.000
A sz	133	0	1.000
a sz A ly	100	0	1.000
a sz f a l t	110	0	1.000
a sz t a l	783	0	1.000
a sz t a l a	445	0	1.000
a sz t a l o k	85	0	1.000
a sz t a l o s	306	0	1.000
a sz t m A s	21	0	1.000
a t a v i z m u s	17	0	1.000
a t e i s t a	407	0	1.000
a t e i z m u s	87	0	1.000
a t k a	21	0	1.000
a t l a sz	82	0	1.000
A t l O	33	0	1.000
A t o k	400	0	1.000
a t o m	427	0	1.000
a t r o c i t A s	81	0	1.000
a t t r a k c i O	165	0	1.000
a ty a	5780	0	1.000
a ty a f i s A g	19	0	1.000
a ty A m	1640	0	1.000
a u g u sz t u s	37	0	1.000
a u k c i O	98	0	1.000
a u r a	105	0	1.000
a u sz t r i a	1890	0	1.000
a u t O	7010	0	1.000
a u t O k	2750	0	1.000
a u t o n O m	111	0	1.000
a u t O s	807	0	1.000
a u t O z A s	92	0	1.000
a v a n t g a r d	30	0	1.000
a v a n t g A r d	165	0	1.000
a v a s	13	0	1.000
a v a t a n d O	17	0	1.000
a v a t A s	89	0	1.000
a v a t k o z A s	24	0	1.000
a z o n o s	3670	0	1.000
a z o n o s s A g	164	0	1.000
b a b	83	0	1.000
b A b	119	0	1.000
b a b a	3370	0	1.000
b a b E r	20	0	1.000
b a b o n a	393	0	1.000
b a b o n A s	67	0	1.000
b a b r A l	98	0	1.000
b A b u	161	0	1.000
b a c i l u s	18	0	1.000
b a d a r	10	0	1.000
b a d a r s A g	172	0	1.000
b a g A zs	125	0	1.000
b a g O	39	0	1.000
b a g o ly	347	0	1.000
b A gy a d t	70	0	1.000
b A gy a d t s A g	12	0	1.000
b a j	3750	0	1.000
b A j	100	0	1.000
b a j n o k	1550	0	1.000
b a j n o k s A g	1640	0	1.000
b a j o d	23	0	1.000
b a j o k	370	0	1.000
b a j o m	93	0	1.000
b a j o s	36	0	1.000
b A j o s	141	0	1.000
b a j u sz	68	0	1.000
b a k	237	0	1.000
b a k a	180	0	1.000
b a k a n cs	60	0	1.000
b a k O	80	0	1.000
b a k t E r i u m	224	0	1.000
b a l	226	0	1.000
b A l	512	0	1.000
b a l h E	49	0	1.000
b a l j O s l a t U	18	0	1.000
b a l k o n	9	0	1.000
b a l l o n	25	0	1.000
b a l o s	60	0	1.000
b A l o z O	6	0	1.000
b a l t a	34	0	1.000
b A l v A ny	251	0	1.000
b A l v A ny o z A s	19	0	1.000
b a l zs a m	29	0	1.000
b a m b u sz	14	0	1.000
b A m E sz k o d O	34	0	1.000
b A m u l a t	17	0	1.000
b A m u l a t o s	52	0	1.000
b a n a l i t A s	59	0	1.000
b a n A n	105	0	1.000
b A n A s m O d	550	0	1.000
b A n a t	512	0	1.000
b A n a t o s	87	0	1.000
b a n d a	1790	0	1.000
b a n d i t a	7	0	1.000
b a n k A r	353	0	1.000
b A n O	16	0	1.000
b A n t a l m a z A s	188	0	1.000
b A n t O	351	0	1.000
b a ny a	155	0	1.000
b A ny A sz	765	0	1.000
b A r	1380	0	1.000
b a r a c k	70	0	1.000
b a r a k k	62	0	1.000
b a r a n g o l A s	42	0	1.000
b a r a n g o l O	14	0	1.000
b A r A ny	720	0	1.000
b a r A t o m	16900	0	1.000
b a r b a r i z m u s	34	0	1.000
b a r b A r s A g	124	0	1.000
b A r d	157	0	1.000
b A r gy U	74	0	1.000
b A r gy U s A g	11	0	1.000
b a r i t o n	14	0	1.000
b a r k O	8	0	1.000
b a r l a n g	541	0	1.000
b a r n a	443	0	1.000
b A r O	635	0	1.000
b a r o k k	123	0	1.000
b a r o m	701	0	1.000
b a r o m s A g	319	0	1.000
b A r s o ny	25	0	1.000
b A r s o ny o s	31	0	1.000
b a s A s k o d O	1	0	1.000
b a s e b a l l	14	0	1.000
b a s sz u s	62	0	1.000
b a sz A s	27	0	1.000
b a sz k	30	0	1.000
b a t A r	29	0	1.000
b A t o r	813	0	1.000
b A t o r I t A s	117	0	1.000
b A t o r I t O	96	0	1.000
b A t o r s A g	420	0	1.000
b A t o r t a l a n	59	0	1.000
b A ty	35	0	1.000
b a ty u	20	0	1.000
b a z a l t	27	0	1.000
b A z i s	590	0	1.000
b E k ly O	35	0	1.000
b E l p o k l o s	13	0	1.000
b E n a s A g	9	0	1.000
b E n I t O	12	0	1.000
b E n u l A s	15	0	1.000
b E n u l t	26	0	1.000
b E r t o l l n o k	10	0	1.000
b i a n k O	2	0	1.000
b i b l i a	875	0	1.000
b I b o r	17	0	1.000
b I b o r o s	670	0	1.000
b i c a j	5	0	1.000
b i c a j o s	6	0	1.000
b i g o t t	38	0	1.000
b i gy O	44	0	1.000
b i k a	480	0	1.000
b i l i A r d	33	0	1.000
b i m b O	51	0	1.000
b I r A k	878	0	1.000
b I r A l a t	388	0	1.000
b I r A l O	234	0	1.000
b I r A s	12	0	1.000
b I r A s k o d A s	74	0	1.000
b i r k a	379	0	1.000
b i r k O z A s	79	0	1.000
b i r k O z O	104	0	1.000
b I r O	3930	0	1.000
b i r o d a l m a	3210	0	1.000
b I r s A g	171	0	1.000
b i r t o k	476	0	1.000
b i r t o k a	764	0	1.000
b i r t o k l A s	89	0	1.000
b i r t o k l O	18	0	1.000
b i r t o k o s	314	0	1.000
b i r t o k o s a	1610	0	1.000
b i t a n g	85	0	1.000
b i t O	20	0	1.000
b i t o r l A s	40	0	1.000
b i t o r l O	121	0	1.000
b i v a ly	123	0	1.000
b i z a k o d A s	67	0	1.000
b i z a k o d O	105	0	1.000
b i z a l m a s	341	0	1.000
b i z a l m a s s A g	23	0	1.000
b i z a r r	556	0	1.000
b I z O	11	0	1.000
b i z o d a l o m	28	0	1.000
b i z o m A ny o s	27	0	1.000
b i z o ny I t A s	291	0	1.000
b i z o ny I t v A ny	264	0	1.000
b i z o ny l a t	178	0	1.000
b i z o ny o s	2540	0	1.000
b i z o ny o s s A g	217	0	1.000
b i z o ny s A g	60	0	1.000
b i z o ny t a l a n	1750	0	1.000
b i z o t t s A g	23800	0	1.000
b i zs u	14	0	1.000
b i z t a t O	688	0	1.000
b i z t o n s A g	736	0	1.000
b i z t o s	10800	0	1.000
b i z t o s I t A s	354	0	1.000
b i z t o s I t O	1770	0	1.000
b i z t o s s A g	52	0	1.000
b l o k A d	109	0	1.000
b l o k k	1510	0	1.000
b l o k k o l A s	12	0	1.000
b l U z	22	0	1.000
b o cs A n a t	23	0	1.000
b o cs A n a t o s	54	0	1.000
b o cs A t A s	157	0	1.000
b O d E	40	0	1.000
b O d u l a t	30	0	1.000
b O d u l t s A g	17	0	1.000
b o dz a	27	0	1.000
b o g A n cs	24	0	1.000
b o g A r	323	0	1.000
b o g a r a s	45	0	1.000
b o h O c	470	0	1.000
b o h O c k o d A s	85	0	1.000
b o h O s A g	25	0	1.000
b o h O z a t	140	0	1.000
b o j k o t t A l	48	0	1.000
b o j t o r j A n	10	0	1.000
b O k	393	0	1.000
b O k o k	15	0	1.000
b o k o r	335	0	1.000
b o k r o k	115	0	1.000
b o k r o s	72	0	1.000
b o k sz	78	0	1.000
b o k sz o l	84	0	1.000
b o k sz o l O	399	0	1.000
b o l d o g	5730	0	1.000
b o l d o g a b b	289	0	1.000
b o l d o g I t O	44	0	1.000
b o l d o g s A g	1940	0	1.000
b o l d o g t a l a n	830	0	1.000
b o l d o g u l A s	127	0	1.000
b o l g A r	167	0	1.000
b o l h a	85	0	1.000
b O l i n t A s	10	0	1.000
b o l o n d	3070	0	1.000
b o l o n d o s	36	0	1.000
b o l o n d o z A s	19	0	1.000
b o l o n d s A g	359	0	1.000
b o l s e v i z m u s	135	0	1.000
b o l t	602	0	1.000
b o l t o s	283	0	1.000
b o l t o z a t	62	0	1.000
b o ly	46	0	1.000
b o ly g O	707	0	1.000
b o ly h o k	10	0	1.000
b o m b A k	54	0	1.000
b o m b a sz t i k u s	31	0	1.000
b o m b A z A s	121	0	1.000
b o m b A z O	174	0	1.000
b o m l A s	614	0	1.000
b o m l a sz t O	14	0	1.000
b o n	30	0	1.000
b o n c o l A s	74	0	1.000
b o n t A s	144	0	1.000
b o n t O	19	0	1.000
b o ny o d a l o m	65	0	1.000
b o ny o l u l t	3400	0	1.000
b o ny o l u l t s A g	37	0	1.000
b O r	22	0	1.000
b o r b E ly	140	0	1.000
b o r d A k	40	0	1.000
b o r d E ly	21	0	1.000
b o r d O	14	0	1.000
b o r I t A s	85	0	1.000
b o r I t O	76	0	1.000
b o r j U	152	0	1.000
b o r o g a t A s	33	0	1.000
b o r o k	637	0	1.000
b o r o n g O s	11	0	1.000
b o r o s	73	0	1.000
b o r o s ty A n	27	0	1.000
b o r o t v A l A s	14	0	1.000
b o r o t v A l t	9	0	1.000
b o r r a v a l O	108	0	1.000
b o r s	51	0	1.000
b o r s O	124	0	1.000
b o r U	59	0	1.000
b o r u l A s	12	0	1.000
b o r U s	163	0	1.000
b o r z	67	0	1.000
b o r z a l m a s	210	0	1.000
b o r z a s	26	0	1.000
b o r z a sz t O	169	0	1.000
b o r z o n g A s	29	0	1.000
b o r z o n g a t O	25	0	1.000
b o s sz a n t A s	28	0	1.000
b o s sz a n t O	186	0	1.000
b o s sz U	1310	0	1.000
b o s sz U s	80	0	1.000
b o s sz U s A g	58	0	1.000
b o s sz U s A g o k	9	0	1.000
b o sz o r k A ny	716	0	1.000
b o sz o r k A ny o k	338	0	1.000
b o sz o r k A ny s A g	79	0	1.000
b o t a n i k u s	64	0	1.000
b o t j a	187	0	1.000
b o t l A s	89	0	1.000
b o t l A s o k	11	0	1.000
b o t o s	18	0	1.000
b o t r A ny	773	0	1.000
b o t r A ny o s	700	0	1.000
b O v l i	28	0	1.000
b o k s	113	0	1.000
b o z O t	99	0	1.000
b o z O t o s	21	0	1.000
b r a ty i z A s	13	0	1.000
b r a v O	19	0	1.000
b r a z i l	190	0	1.000
b r i g A d	195	0	1.000
b r i g a n t i	11	0	1.000
b r i l i A n s	36	0	1.000
b r i l l i A n s	18	0	1.000
b r o k k o l i	22	0	1.000
b r o n z	96	0	1.000
b r o w n	224	0	1.000
b r u t a l i t A s	164	0	1.000
b r u t t O	28	0	1.000
b U	527	0	1.000
b U cs U	239	0	1.000
b U cs U z t a t A s	11	0	1.000
b U cs U z t a t O	28	0	1.000
b u d d h i s t a	110	0	1.000
b u g gy a n t	10	0	1.000
b u g r i s	93	0	1.000
b u j a s A g	64	0	1.000
b u j d o s O	120	0	1.000
b u k A s	536	0	1.000
b u k O s i s a k	21	0	1.000
b u k o t t	95	0	1.000
b u k t a t O	8	0	1.000
b u l a	15	0	1.000
b u l i	1830	0	1.000
b u l l a	42	0	1.000
b u l v A r s a j t O	114	0	1.000
b u m e r A n g	31	0	1.000
b u m f o r d i	23	0	1.000
b u m m	17	0	1.000
b u n k O	576	0	1.000
b UE n p A r t o l A s	10	0	1.000
b u ny O	32	0	1.000
b u ny O s	227	0	1.000
b u r g o ny a	222	0	1.000
b u r j A n z A s	98	0	1.000
b u r k o l a t	152	0	1.000
b u r k o l O	16	0	1.000
b u r k o l t	11	0	1.000
b u r o k	114	0	1.000
b u r zs o A	48	0	1.000
b u r zs u j	37	0	1.000
b U s	66	0	1.000
b u s m a n	17	0	1.000
b u sz	617	0	1.000
b u t a	666	0	1.000
b u t A n	17	0	1.000
b u t a s A g	501	0	1.000
b u t a s A g o k	14	0	1.000
b u t i k	22	0	1.000
b U t o r	222	0	1.000
b U t o r z a t	29	0	1.000
b u t u s	18	0	1.000
b U v A r k o d A s	62	0	1.000
b u z d I t A s	103	0	1.000
b u z d I t O	10	0	1.000
b u z e r A n s	8	0	1.000
b u z g a l o m	73	0	1.000
b u z g O	36	0	1.000
b u z g O s A g	55	0	1.000
b u z i	299	0	1.000
b u z i s	15	0	1.000
b u z o g A ny	45	0	1.000
c a e s a r	224	0	1.000
c E c O	19	0	1.000
c e l l a	321	0	1.000
c e l l u l O z	15	0	1.000
c E l o d	30	0	1.000
c E l o z g a t A s	8	0	1.000
c E l t a l a n	408	0	1.000
c E l t a l a n s A g	24	0	1.000
c E l U	100	0	1.000
c E l z A s	185	0	1.000
c E l z A s o k	15	0	1.000
c E l z a t o s	19	0	1.000
c E l z O	9	0	1.000
c E l z o t t	29	0	1.000
c e n z o r	123	0	1.000
c e n z U r A z A s	16	0	1.000
c e r b e r u s	56	0	1.000
c E z A r	95	0	1.000
c i a n i d	8	0	1.000
c i c a	513	0	1.000
c i c u s	84	0	1.000
c i f r a s A g	25	0	1.000
c i k l i k u s	27	0	1.000
c i k l o n	84	0	1.000
c i k l u s	838	0	1.000
c i m b a l o m	31	0	1.000
c i m b o r A k	106	0	1.000
c i n c o g A s	14	0	1.000
c i n i k u s	576	0	1.000
c i n i z m u s	291	0	1.000
c i n k o s	46	0	1.000
c i o n i s t a	43	0	1.000
c i o n i z m u s	88	0	1.000
c i p O	38	0	1.000
c i p r u s	170	0	1.000
c i r k A l O	45	0	1.000
c i r k u sz	504	0	1.000
c i r m o s	33	0	1.000
c i t r o m	179	0	1.000
c i v a k o d A s	40	0	1.000
c i v i l i z A l t	282	0	1.000
c i v O d A s	23	0	1.000
c o m b	40	0	1.000
c o r p u s	41	0	1.000
cs A b	31	0	1.000
cs A b I t A s	1770	0	1.000
cs A b I t O	477	0	1.000
cs A b o s	30	0	1.000
cs a cs i	101	0	1.000
cs A k A ny	19	0	1.000
cs A k O	36	0	1.000
cs a l A d i a s	53	0	1.000
cs a l A d j a	19	0	1.000
cs a l A d o m	2070	0	1.000
cs a l A d o s	31	0	1.000
cs a l A n	193	0	1.000
cs a l A r d	72	0	1.000
cs a l A r d s A g	48	0	1.000
cs a l A s	643	0	1.000
cs a l i t	15	0	1.000
cs a l O	541	0	1.000
cs a l O d A s	357	0	1.000
cs a l O d o t t	391	0	1.000
cs a l O d o t t s A g	50	0	1.000
cs a l o g a t O	68	0	1.000
cs a p A s	628	0	1.000
cs a p a t a	21100	0	1.000
cs a p d a	262	0	1.000
cs a p j a	40	0	1.000
cs a p k o d A s	15	0	1.000
cs a p n i v a l O	103	0	1.000
cs a p O	26	0	1.000
cs a p o d A r	23	0	1.000
cs a p o k	55	0	1.000
cs a p o l A s	12	0	1.000
cs a p o n g A s	14	0	1.000
cs a p o n g O	24	0	1.000
cs a p o s	403	0	1.000
cs a r n o k	224	0	1.000
cs a t	22	0	1.000
cs a t a	883	0	1.000
cs a t A r	705	0	1.000
cs a t A r o z A s	119	0	1.000
cs a t l a k o z A s	2830	0	1.000
cs a t l a k o z O	252	0	1.000
cs a t l O s	77	0	1.000
cs a t o l A s	28	0	1.000
cs a t o r n a	1970	0	1.000
cs a t o r n A z A s	53	0	1.000
cs a t t a n A s	12	0	1.000
cs a t t a n O	64	0	1.000
cs a t t a n O s	12	0	1.000
cs a t t o g	491	0	1.000
cs a v a r A s	60	0	1.000
cs a v a r g A s	26	0	1.000
cs a v a r g O	292	0	1.000
cs a v a r o d A s	29	0	1.000
cs a v a r o s	14	0	1.000
cs A v O	390	0	1.000
cs e l l O	24	0	1.000
cs e t e p a t E	134	0	1.000
cs i cs A s	14	0	1.000
cs i g a	307	0	1.000
cs i k l O	15	0	1.000
